Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,status
109575_0,,,False,compound_missing
118039_0,,,False,compound_missing
121211_0,,,False,compound_missing
123222_0,,,False,compound_missing
12768_0,,,False,compound_missing
131534_0,,,False,compound_missing
14024_0,,,False,compound_missing
142682_1,,,False,compound_missing
144343_0,,,False,compound_missing
148713_0,,,False,compound_missing
151876_0,,,False,compound_missing
16146_0,,,False,compound_missing
162757_0,,,False,compound_missing
1672_0,,,False,compound_missing
175854_0,,,False,compound_missing
175866_0,,,False,compound_missing
175910_0,,,False,compound_missing
19523_0,,,False,compound_missing
25331_0,,,False,compound_missing
26075_1,,,False,compound_missing
33119_0,,,False,compound_missing
40166_1,,,False,compound_missing
57898_0,,,False,compound_missing
58105_0,,,False,compound_missing
58929_0,,,False,compound_missing
59813_0,,,False,compound_missing
60015_0,,,False,compound_missing
60067_1,,,False,compound_missing
60073_1,,,False,compound_missing
60087_0,,,False,compound_missing
60601_2,,,False,compound_missing
60626_2,,,False,compound_missing
60867_0,,,False,compound_missing
65233_0,,,False,compound_missing
69284_0,,,False,compound_missing
77564_0,,,False,compound_missing
8597_0,,,False,compound_missing
87881_0,,,False,compound_missing
88254_0,,,False,compound_missing
90516_0,,,False,compound_missing
90604_0,,,False,compound_missing
90671_1,,,False,compound_missing
90700_0,,,False,compound_missing
90732_0,,,False,compound_missing
91303_0,,,False,compound_missing
91354_0,,,False,compound_missing
91363_0,,,False,compound_missing
91767_0,,,False,compound_missing
91819_0,,,False,compound_missing
100000_0,-0.4315888087965618,1.492718089740412,True,ok
10000_0,-68.49179130603409,2.1230413805937065,True,ok
100020_0,-3.686422011659772,1.9030338036478527,True,ok
100034_0,-0.4315888087966755,1.4927180897404122,True,ok
100047_0,-3.6864220116597153,1.9030338036478527,True,ok
100058_0,-3.686422011659772,1.9030338036478527,True,ok
10006_0,-68.79080367034067,2.1230413805937065,True,ok
100080_0,-5.55162120599158,1.4789027673091897,True,ok
100090_0,-0.4315888087965618,1.492718089740412,True,ok
100101_0,-0.4315888087966755,1.4927180897404122,True,ok
100111_0,-2.855481108161598,2.8991942294845994,True,ok
100123_0,-0.4315888087966755,1.4927180897404122,True,ok
100134_0,-0.4315888087966755,1.4927180897404122,True,ok
100148_0,-3.6864220116596016,1.9030338036478527,True,ok
100159_0,-0.43158880879673234,1.4927180897404122,True,ok
10016_0,-68.79080367034067,2.1230413805937065,True,ok
100182_0,-0.43158880879650496,1.492718089740412,True,ok
100192_0,-3.6864220116596584,1.9030338036478525,True,ok
100203_0,-0.43158880879661865,1.492718089740412,True,ok
100216_0,-3.6864220116595163,1.9030338036478525,True,ok
10022_0,-68.7908036703405,2.1230413805937065,True,ok
100243_0,-3.686422011659573,1.9030338036478527,True,ok
100254_0,-0.4315888087965334,1.492718089740412,True,ok
100266_0,-0.43158880879650496,1.492718089740412,True,ok
100277_0,-0.43158880879664707,1.492718089740412,True,ok
10028_0,-68.79080367034067,2.1230413805937065,True,ok
1002_0,-356.38112761053833,100000.0000897376,False,ok
10030_0,-68.79080367034067,2.1230413805937065,True,ok
100321_0,-3.686422011659573,1.9030338036478527,True,ok
100333_0,-3.6864220116597153,1.9030338036478527,True,ok
100345_0,-5.55162120599158,1.4789027673091897,True,ok
100356_0,-5.551621205991864,1.4789027673091897,True,ok
100367_0,-3.6864220116596016,1.9030338036478527,True,ok
100379_0,2.9243898416365823,1.6285490534695606,True,ok
100390_0,-0.4315888087967039,1.492718089740412,True,ok
1003_0,-358.7177676928409,100000.00008994735,False,ok
100410_0,-0.4315888087966755,1.492718089740412,True,ok
100420_0,-5.551621205991438,1.4789027673091897,True,ok
100433_0,-3.686422011659488,1.9030338036478527,True,ok
100447_0,-3.6864220116597153,1.9030338036478527,True,ok
10045_0,-68.79080367034078,2.1230413805937065,True,ok
100473_0,-5.5516212059918075,1.4789027673091895,True,ok
100484_0,-2.2967880031288246,1.9554233999038113,True,ok
100497_0,-3.6864220116596016,1.9030338036478527,True,ok
100506_0,2.924389841636639,1.6285490534695606,True,ok
100519_0,-2.2967880031287677,1.9554233999038113,True,ok
100531_0,-3.686422011659687,1.9030338036478527,True,ok
100544_0,-3.6864220116595448,1.9030338036478527,True,ok
100556_0,2.093448938138579,1.9390313502553056,True,ok
100567_0,-5.55162120599158,1.4789027673091897,True,ok
100577_0,2.093448938138522,1.9390313502553056,True,ok
100587_0,2.093448938138579,1.9390313502553056,True,ok
100596_0,2.0934489381387493,1.9390313502553054,True,ok
100604_0,2.0934489381386925,1.9390313502553056,True,ok
100615_0,-2.855481108161598,2.8991942294845994,True,ok
100627_0,-0.43158880879661865,1.4927180897404122,True,ok
100639_0,-3.6864220116596016,1.9030338036478527,True,ok
10064_0,-68.79080367034067,2.1230413805937065,True,ok
100663_0,0.39935209470144173,1.9071124388522864,True,ok
100675_0,-0.4315888087966755,1.4927180897404122,True,ok
100688_0,-0.43158880879661865,1.4927180897404122,True,ok
100697_0,0.39935209470132804,1.9071124388522864,True,ok
100707_0,0.39936096404693444,1.9071124388522864,True,ok
100719_0,-2.855481108161541,2.8991942294845994,True,ok
100731_0,2.924389841636639,1.6285490534695606,True,ok
100746_0,2.924389841636639,1.6285490534695606,True,ok
100759_0,0.3993520947014986,1.9071124388522864,True,ok
100770_0,-0.43158880879661865,1.4927180897404122,True,ok
100786_0,-3.6864220116596584,1.9030338036478527,True,ok
10079_0,-68.79080367034067,2.1230413805937065,True,ok
100810_0,2.924389841636696,1.6285490534695606,True,ok
100824_0,2.924389841636696,1.6285490534695606,True,ok
100838_0,2.924389841636639,1.6285490534695606,True,ok
100849_0,0.3993520947013849,1.9071124388522864,True,ok
100862_0,-0.4315888087967039,1.492718089740412,True,ok
100872_0,2.093448938138664,1.9390313502553054,True,ok
100885_0,-0.43158880879659023,1.492718089740412,True,ok
100899_0,-0.4315888087965618,1.4927180897404122,True,ok
100911_0,0.3993520947013849,1.9071124388522867,True,ok
100926_0,-0.4315888087966755,1.492718089740412,True,ok
100937_0,2.9243898416365255,1.6285490534695606,True,ok
100950_0,2.9243898416365823,1.6285490534695606,True,ok
100963_0,-5.551621205991637,1.4789027673091895,True,ok
100975_0,-0.4315888087964481,1.4927180897404124,True,ok
100986_0,-0.4315888087965618,1.4927180897404122,True,ok
100997_0,2.0934489381386925,1.9390313502553056,True,ok
101008_0,2.924389841636753,1.6285490534695606,True,ok
101019_0,2.093448938138579,1.9390313502553056,True,ok
10102_0,-68.79080367034067,2.1230413805937065,True,ok
101042_0,-2.2967880031287677,1.9554233999038115,True,ok
101054_0,0.3993536009326135,1.9071124388522864,True,ok
101069_0,2.924389841636639,1.6285490534695606,True,ok
101080_0,0.39935209470132804,1.9071124388522864,True,ok
101092_0,-2.8554811081617686,2.8991942294845994,True,ok
101101_0,-2.296788003128711,1.9554233999038113,True,ok
101112_0,-2.2967880031287677,1.9554233999038113,True,ok
101127_0,-3.686422011659772,1.9030338036478527,True,ok
101139_0,0.3993520947013849,1.9071124388522864,True,ok
101150_0,-0.4315888087966755,1.4927180897404122,True,ok
101161_0,-2.296788003128597,1.9554233999038115,True,ok
101172_0,-5.5516212059918075,1.4789027673091897,True,ok
101186_0,-0.4315888087966755,1.4927180897404122,True,ok
101194_0,-0.43158880879650496,1.4927180897404122,True,ok
101201_0,2.093448938138579,1.9390313502553056,True,ok
101215_0,-3.686422011659772,1.9030338036478527,True,ok
101228_0,-0.43158880879661865,1.4927180897404122,True,ok
101239_0,-5.551621205991637,1.4789027673091895,True,ok
101251_0,-0.43158880879659023,1.4927180897404122,True,ok
101263_0,-0.43158880879673234,1.4927180897404122,True,ok
101275_0,2.093448938138579,1.9390313502553056,True,ok
101286_0,0.39935209470144173,1.9071124388522862,True,ok
101296_0,-0.43158880879650496,1.492718089740412,True,ok
101302_0,0.39935209470144173,1.9071124388522864,True,ok
101316_0,0.39935209470132804,1.9071124388522864,True,ok
101329_0,2.924389841636639,1.6285490534695606,True,ok
101339_0,0.39935209470132804,1.9071124388522864,True,ok
101349_0,-0.4315888087965618,1.4927180897404122,True,ok
10135_0,-68.79080367034078,2.1230413805937065,True,ok
10136_0,-68.79080367034089,2.1230413805937065,True,ok
10137_0,-68.79080367034078,2.1230413805937065,True,ok
101389_0,-48.01574931671024,3.1165631986601583,True,ok
101399_0,-0.43158880879673234,1.492718089740412,True,ok
101407_0,-2.2967880031285404,1.9554233999038113,True,ok
101417_0,-3.6864220116596016,1.9030338036478527,True,ok
10142_0,-68.79080367034078,2.1230413805937065,True,ok
101437_0,364.5990951168443,100000.00010148092,False,ok
101447_0,-0.4315888087966755,1.492718089740412,True,ok
101457_0,2.093448938138465,1.9390313502553056,True,ok
101468_0,-3.6864220116597153,1.9030338036478527,True,ok
101479_0,-3.6864220116595163,1.9030338036478525,True,ok
101488_0,2.093448938138579,1.9390313502553056,True,ok
101499_0,-5.551621205991637,1.4789027673091897,True,ok
101507_0,-3.6864220116597153,1.9030338036478527,True,ok
101518_0,-5.551621205991609,1.4789027673091895,True,ok
101528_0,-3.6864220116596584,1.9030338036478527,True,ok
10153_0,-68.79080367034078,2.1230413805937065,True,ok
101550_0,-3.686422011659687,1.9030338036478527,True,ok
101562_0,0.3993520947012712,1.9071124388522864,True,ok
101574_0,2.924389841636639,1.6285490534695606,True,ok
101588_0,-2.2967880031287677,1.9554233999038113,True,ok
1015_1,-752.1162852428383,200000.0002178839,False,ok
10160_0,-68.79080367034078,2.1230413805937065,True,ok
101619_0,0.3993520947012712,1.9071124388522864,True,ok
101630_0,-0.4315888087966755,1.4927180897404122,True,ok
101640_0,-0.4315888087966755,1.4927180897404122,True,ok
101651_0,-2.2967880031286825,1.9554233999038115,True,ok
101666_0,2.924389841636639,1.6285490534695606,True,ok
101679_0,-2.85548110816174,2.8991942294845994,True,ok
101692_0,362.905211608807,100000.00010175502,False,ok
101703_0,2.924389841636696,1.6285490534695606,True,ok
101715_0,0.39935209470132804,1.9071124388522864,True,ok
10172_0,-68.79080367034055,2.1230413805937065,True,ok
101742_0,-2.2967880031286825,1.9554233999038113,True,ok
101754_0,-2.2967880031286825,1.9554233999038113,True,ok
101768_0,0.39935209470144173,1.9071124388522864,True,ok
101780_0,-2.2967880031287677,1.9554233999038115,True,ok
101791_0,-2.296788003128711,1.9554233999038113,True,ok
