Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,status
41454_0,,,False,compound_missing
50065_0,,,False,compound_missing
50071_0,,,False,compound_missing
58777_0,,,False,compound_missing
100001_0,-40.33441501193147,1.644620679766481,True,ok
100012_0,-37.079581809068316,1.1735538334314626,True,ok
100028_0,-34.874414983422696,4.251488055665673,True,ok
10003_0,332.95970872777605,100000.00018244349,False,ok
100051_0,-37.809377264996044,1.419471985772473,True,ok
100064_0,-34.87441498342264,4.251488055665673,True,ok
100079_0,-35.47273718269349,1.531385534993315,True,ok
100092_0,-35.47273718269349,1.531385534993315,True,ok
100105_0,-56.55019385370525,4.48655919885625,True,ok
10011_0,356.78024593654857,100000.00002561898,False,ok
100133_0,-51.68851602446716,4.481273209569641,True,ok
100145_0,-56.55019385370514,4.48655919885625,True,ok
100159_0,-53.2953606508421,4.318946914071333,True,ok
100169_0,-51.68851602446722,4.48127320956964,True,ok
100181_0,-35.47273718269332,1.5313855349933152,True,ok
100197_0,-35.472737182693436,1.5313855349933152,True,ok
100205_0,-35.47574068880539,1.5313855349933154,True,ok
10021_0,-12.85197287600937,4.174389876468353,True,ok
100232_0,-39.41922539748293,1.2709838388357055,True,ok
100244_0,-30.39301580882983,4.3414979449856475,True,ok
100259_0,-27.141186112078742,4.181724933031287,True,ok
100271_0,-25.53434148570392,4.360561896881602,True,ok
100285_0,-46.911071904928576,2.0105493673483763,True,ok
10029_0,-15.188612958312035,4.057300709369999,True,ok
100313_0,-42.19961420626328,1.2195452315805002,True,ok
100325_0,-37.809377264996044,1.419471985772473,True,ok
100338_0,-41.92696751763458,1.99713313735811,True,ok
100350_0,336.10988692479924,100000.00008856221,False,ok
100364_0,-44.420189118292456,1.7164798977213307,True,ok
10037_0,-1.312477704952812,0.8008297994873768,True,ok
100394_0,-39.73609281266056,4.327322364201942,True,ok
100405_0,-47.06129203550125,1.562872647719744,True,ok
10041_0,10.965561580451379,4.019041147777787,True,ok
100429_0,309.84128976895823,100000.00018275825,False,ok
100441_0,-46.911071904928576,2.0105493673483763,True,ok
100457_0,-44.42018911829251,1.7164798977213307,True,ok
100469_0,-40.334415011931355,1.644620679766481,True,ok
100483_0,-44.4201891182924,1.7164798977213307,True,ok
100498_0,-40.33441501193141,1.6446206797664813,True,ok
100508_0,-46.78864696082837,2.2512646487110795,True,ok
10051_0,6.323016501733662,4.0300704100587765,True,ok
100533_0,-38.34946231024156,4.3744067421216535,True,ok
100545_0,-47.06129203550137,1.5628726477197443,True,ok
10055_0,-3.6183827013680343,0.9361853552194981,True,ok
100572_0,-42.04939407569066,1.7749930677105425,True,ok
100583_0,-34.87441498342264,4.251488055665673,True,ok
100599_0,-34.874414983422696,4.251488055665673,True,ok
100609_0,-41.92696751763464,1.99713313735811,True,ok
100621_0,314.7029675981961,100000.00018026006,False,ok
100637_0,-39.55851128905442,1.4872340339884902,True,ok
100649_0,-37.8093772649961,1.4194719857724731,True,ok
100661_0,-35.472737182693436,1.531385534993315,True,ok
100677_0,-46.98534438504339,1.3831698768301508,True,ok
100689_0,-46.98534438504328,1.383169876830151,True,ok
1006_0,-22.86850486465903,1.5145585451094714,True,ok
100711_0,-55.75580922279306,4.246281108354206,True,ok
100722_0,-54.14896459641818,4.46693781125957,True,ok
100734_0,-41.168359421541425,1.1481468746584909,True,ok
100743_0,-39.561514795166545,1.4872340339884904,True,ok
100759_0,-42.39840840560521,2.370343296493761,True,ok
100767_0,-39.41622189137084,1.2709838388357055,True,ok
10077_0,-18.205832502619614,4.104434803922339,True,ok
