Generation	Smiles
2	C(C=CCO)#N
2	C(C=CC(C#N)O)#N
2	C(C=CC(C#N)N)#N
3	C(C(C)(CC(C#N)=O)O)#N
3	C(CC(CC(C#N)=O)O)#N
3	C(C(C=O)C(C#N)(C)O)#N
3	C(C(CC(C#N)=O)O)#N
3	C(C(C=O)C(CC#N)O)#N
3	C(C(C=O)C(C#N)O)#N
3	C(C(CCO)=O)#N
3	C(C(C=O)CO)#N
3	C(CCO)#N
3	C(CC(O)=O)#N
3	C(C(O)=O)#N
3	C=C(C(NC(C(N)=N)=C)=N)N
3	C=C(C(N)=N)NC(C=CN)=N
3	C=C(C(NC=CC(N)=N)=N)N
3	C(NC(C=CN)=N)=CC(N)=N
3	C=C(C(NC(C(N)=O)=C)=N)N
3	C=C(C(N)=O)NC(C=CN)=N
3	C=C(C(NC=CC(N)=O)=N)N
3	C(NC(C=CN)=N)=CC(N)=O
3	C=C(N)N
3	C(N)=CN
3	C=C(C(NC(C(N)=C)=N)=N)N
3	C=C(C(NC(C=CN)=N)=N)N
3	C=C(C(NC(C(N)=C)=N)=O)N
3	C=C(C(NC(C=CN)=O)=N)N
3	C(N)=CC(NC(C=CN)=N)=N
3	C=C(C(NC(C=CN)=N)=O)N
3	C(N)=CC(NC(C=CN)=N)=O
3	C(C(C(NC(C(N)=C)=N)=N)=C)#N
3	C(C(C(NC(C=CN)=N)=N)=C)#N
3	C(C(C(NC(C(N)=C)=O)=N)=C)#N
3	C(C(C(NC(C=CN)=O)=N)=C)#N
3	C(C=CC(NC(C(N)=C)=N)=N)#N
3	C(C=CC(NC(C=CN)=N)=N)#N
3	C(C=CC(NC(C(N)=C)=O)=N)#N
3	C(C=CC(NC(C=CN)=O)=N)#N
3	C=C(C(NC(C=N)=N)=N)N
3	C(N)=CC(NC(C=N)=N)=N
3	C(CO)(NC(C(N)=C)=N)=N
3	C(CO)(NC(C=CN)=N)=N
3	C(CN)(NC(C(N)=C)=N)=N
3	C(CN)(NC(C=CN)=N)=N
3	C=C(C(NC(C=N)=N)=O)N
3	C(N)=CC(NC(C=N)=N)=O
3	C(CO)(NC(C(N)=C)=O)=N
3	C(CO)(NC(C=CN)=O)=N
3	C(CN)(NC(C(N)=C)=O)=N
3	C(CN)(NC(C=CN)=O)=N
3	C#CC(NC(C(N)=C)=O)=N
3	C#CC(NC(C=CN)=O)=N
3	C(NC(C(N)=C)=O)=N
3	C(NC(C=CN)=O)=N
3	C=C(C(O)=O)N
3	C(N)=CC(O)=O
3	C(C(CNC(C(N)=C)=N)N)#N
3	C(C(CNC(C=CN)=N)N)#N
3	C(C(C#N)CNC(C(N)=C)=N)#N
3	C(C(C#N)CNC(C=CN)=N)#N
3	C(C(CC#N)NC(C(N)=C)=N)#N
3	C(C(CC#N)NC(C=CN)=N)#N
3	C=C1C(NC(C(N1)=N)=C)=N
3	C=C1C(NC=CC(N1)=N)=N
3	C1NC(C=CNC(C=1)=N)=N
3	C=C1C(NC(C(N1)=C)=N)=N
3	C=C1C(NC(C=CN1)=N)=N
3	C=C1C(NC(C(N1)=C)=N)=O
3	C=C1C(NC(C=CN1)=O)=N
3	C1NC=CC(NC(C=1)=N)=N
3	C=C1C(NC(C=CN1)=N)=O
3	C1NC=CC(NC(C=1)=O)=N
3	C1(CNC(C(N1)=N)=C)=N
3	C1(CNC=CC(N1)=N)=N
3	C1(CNC(C(N1)=O)=C)=N
3	C1(CNC=CC(N1)=O)=N
3	C(C1CNC(C(N1)=C)=N)#N
3	C(C1CNC(C=CN1)=N)#N
3	C=C(N)NC(C(N)=N)=C
3	C=C(N)NC(C(N)=C)=N
3	C(NC(C(N)=N)=C)=CN
3	C(NC(C(N)=C)=N)=CN
3	C(NC(C(NC(C(N)=N)=C)=C)=N)=N
3	C(NC(C(NC(C(N)=C)=N)=C)=N)=N
3	C(NC(C=CNC(C(N)=N)=C)=N)=N
3	C(NC(C=CNC(C(N)=C)=N)=N)=N
3	C(CNC(C(NC(C(N)=N)=C)=C)=N)#N
3	C(CNC(C(NC(C(N)=C)=N)=C)=N)#N
3	C(CNC(C=CNC(C(N)=N)=C)=N)#N
3	C(CNC(C=CNC(C(N)=C)=N)=N)#N
3	C(NC(C(NC(C(N)=N)=C)=C)=N)=O
3	C(NC(C(NC(C(N)=C)=N)=C)=N)=O
3	C(NC(C=CNC(C(N)=N)=C)=N)=O
3	C(NC(C=CNC(C(N)=C)=N)=N)=O
3	C(NC(C(NC(C(N)=N)=C)=C)=O)=N
3	C(NC(C(NC(C(N)=C)=N)=C)=O)=N
3	C(NC(C=CNC(C(N)=N)=C)=O)=N
3	C(NC(C=CNC(C(N)=C)=N)=O)=N
3	C=C(C(O)=O)NC(C(N)=N)=C
3	C=C(C(NC(C(O)=O)=C)=N)N
3	C(NC(C(N)=N)=C)=CC(O)=O
3	C=C(C(NC=CC(O)=O)=N)N
3	C=C(N)NC=CC(N)=N
3	C=C(N)NC(C=CN)=N
3	C(NC=CC(N)=N)=CN
3	C(NC(C=CN)=N)=CN
3	C(NC(C(NC=CC(N)=N)=C)=N)=N
3	C(NC(C(NC(C=CN)=N)=C)=N)=N
3	C(NC(C=CNC=CC(N)=N)=N)=N
3	C(NC(C=CNC(C=CN)=N)=N)=N
3	C(CNC(C(NC=CC(N)=N)=C)=N)#N
3	C(CNC(C(NC(C=CN)=N)=C)=N)#N
3	C(CNC(C=CNC=CC(N)=N)=N)#N
3	C(CNC(C=CNC(C=CN)=N)=N)#N
3	C(NC(C(NC=CC(N)=N)=C)=N)=O
3	C(NC(C(NC(C=CN)=N)=C)=N)=O
3	C(NC(C=CNC=CC(N)=N)=N)=O
3	C(NC(C=CNC(C=CN)=N)=N)=O
3	C(NC(C(NC=CC(N)=N)=C)=O)=N
3	C(NC(C(NC(C=CN)=N)=C)=O)=N
3	C(NC(C=CNC=CC(N)=N)=O)=N
3	C(NC(C=CNC(C=CN)=N)=O)=N
3	C=C(C(O)=O)NC=CC(N)=N
3	C=C(C(O)=O)NC(C=CN)=N
3	C(NC=CC(N)=N)=CC(O)=O
3	C(NC(C=CN)=N)=CC(O)=O
3	C=C(N)NC(C(N)=O)=C
3	C(NC(C(N)=O)=C)=CN
3	C(NC(C(NC(C(N)=O)=C)=C)=N)=N
3	C(NC(C=CNC(C(N)=O)=C)=N)=N
3	C(CNC(C(NC(C(N)=O)=C)=C)=N)#N
3	C(CNC(C=CNC(C(N)=O)=C)=N)#N
3	C(NC(C(NC(C(N)=O)=C)=C)=N)=O
3	C(NC(C=CNC(C(N)=O)=C)=N)=O
3	C(NC(C(NC(C(N)=O)=C)=C)=O)=N
3	C(NC(C=CNC(C(N)=O)=C)=O)=N
3	C=C(C(O)=O)NC(C(N)=O)=C
3	C(NC(C(N)=O)=C)=CC(O)=O
3	C=C(N)NC=CC(N)=O
3	C(NC=CC(N)=O)=CN
