Generation	HMDB	KEGG	ECMDB	Computed Set	Whole Network
0.0	0.0	0.0	0.0	0.0	2.0
1.0	0.0	0.0	0.0	9.0	18.0
2.0	7.0	6.0	2.0	64.0	128.0
3.0	14.0	13.0	7.0	297.0	1054.0
4.0	37.0	32.0	18.0	1520.0	7891.0
5.0	45.0	47.0	23.0	5424.0	48403.0
