Generation	HMDB	KEGG	ECMDB	Computed Set	Whole Network
0.0	0.0	0.0	0.0	0.0	3.0
1.0	0.0	0.0	0.0	11.0	21.0
2.0	8.0	7.0	2.0	112.0	180.0
3.0	16.0	16.0	8.0	737.0	1872.0
4.0	46.0	49.0	25.0	6057.0	26126.0
