Generation	HMDB	KEGG	ECMDB	Computed Set	Whole Network
0.0	0.0	0.0	0.0	0.0	4.0
1.0	0.0	0.0	0.0	1.0	11.0
2.0	7.0	7.0	4.0	22.0	54.0
3.0	21.0	21.0	15.0	408.0	985.0
4.0	48.0	49.0	25.0	4459.0	35318.0
