Generation	HMDB	KEGG	ECMDB	Computed Set	Whole Network
0.0	0.0	0.0	0.0	0.0	3.0
1.0	0.0	0.0	0.0	1.0	9.0
2.0	7.0	7.0	4.0	10.0	32.0
3.0	17.0	16.0	11.0	76.0	311.0
4.0	32.0	28.0	17.0	698.0	2959.0
5.0	42.0	41.0	21.0	3404.0	23459.0
