Generation	INCHIKEY	NetworkSmiles	AnalogueSmiles
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	{'C(=O)[C@@H]([C@@H](CO)O[H])O', 'C(=O)[C@H]([C@@H](CO)O)O[H]', 'C(=O)[C@H]([C@H](CO)O[H])O', 'C(=O)[C@H]([C@@H](CO[H])O)O', 'C(=O)[C@H]([C@@H](CO)O[H])O', 'C(=O)[C@H]([C@H](CO)O)O[H]', 'C(=O)[C@@H]([C@H](CO[H])O)O', 'C(=O)[C@@H]([C@@H](CO)O)O[H]', 'C(=O)[C@@H]([C@H](CO)O[H])O', 'C(=O)[C@@H]([C@@H](CO[H])O)O', 'C(=O)[C@H]([C@H](CO[H])O)O', 'C(=O)[C@@H]([C@H](CO)O)O[H]'}
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	{'C(=O)[C@H]([C@H]([C@@H](CO)O)O)N([H])[H]', 'C(=O)[C@@H]([C@H]([C@H](CO[H])O)O)N', 'C(=O)[C@H]([C@H]([C@@H](CO)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@@H](CO)O)O)N([H])[H]', 'C(=O)[C@@H]([C@@H]([C@@H](CO)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@H](CO)O)O)N([H])[H]', 'C(=O)[C@@H]([C@@H]([C@H](CO)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@H](CO)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@H](CO)O)O[H])N', 'C(=O)[C@H]([C@H]([C@H](CO)O)O)N([H])[H]', 'C(=O)[C@@H]([C@H]([C@@H](CO)O[H])O)N', 'C(=O)[C@@H]([C@@H]([C@H](CO)O)O)N([H])[H]', 'C(=O)[C@@H]([C@@H]([C@@H](CO)O)O)N([H])[H]', 'C(=O)[C@H]([C@H]([C@@H](CO[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@@H](CO)O)O[H])N', 'C(=O)[C@H]([C@@H]([C@H](CO[H])O)O)N', 'C(=O)[C@H]([C@H]([C@H](CO)O)O[H])N', 'C(=O)[C@@H]([C@@H]([C@@H](CO)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H](CO)O)O[H])N', 'C(=O)[C@H]([C@@H]([C@@H](CO)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@@H](CO)O)O)N([H])[H]', 'C(=O)[C@H]([C@H]([C@H](CO[H])O)O)N', 'C(=O)[C@@H]([C@@H]([C@H](CO[H])O)O)N', 'C(=O)[C@@H]([C@H]([C@@H](CO)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@@H](CO[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@@H](CO[H])O)O)N', 'C(=O)[C@@H]([C@@H]([C@@H](CO[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@H](CO)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H](CO)O)O)N([H])[H]', 'C(=O)[C@H]([C@H]([C@H](CO)O[H])O)N', 'C(=O)[C@@H]([C@@H]([C@H](CO)O)O[H])N', 'C(=O)[C@H]([C@H]([C@@H](CO)O)O[H])N'}
G2	FZHXIRIBWMQPQF	C(C(C(C(C(CO)O)O)O)N)=O	{'C(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@@H]([C@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@H]([C@@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@@H]([C@@H]([C@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@H]([C@@H]([C@@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@H]([C@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@H]([C@H]([C@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@@H]([C@H]([C@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@H]([C@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@H]([C@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@@H]([C@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@H]([C@H]([C@@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@H]([C@@H]([C@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@@H]([C@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@H]([C@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@H]([C@H]([C@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@H]([C@@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@@H]([C@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O[H])N', 'C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@H]([C@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@H]([C@H]([C@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@@H]([C@H]([C@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@@H]([C@H]([C@H]([C@@H](CO)O)O[H])O)N', 'C(=O)[C@H]([C@H]([C@@H]([C@H](CO)O)O[H])O)N', 'C(=O)[C@@H]([C@H]([C@H]([C@@H](CO)O[H])O)O)N', 'C(=O)[C@H]([C@@H]([C@@H]([C@H](CO)O[H])O)O)N', 'C(=O)[C@@H]([C@@H]([C@H]([C@@H](CO[H])O)O)O)N', 'C(=O)[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O[H])N'}
G2	QSBOQJCOHPCHRB	C(C(C(CN)O)N)=O	{'C(=O)[C@H]([C@H](CN([H])[H])O)N', 'C(=O)[C@@H]([C@@H](CN)O[H])N', 'C(=O)[C@H]([C@@H](CN)O[H])N', 'C(=O)[C@@H]([C@@H](CN)O)N([H])[H]', 'C(=O)[C@@H]([C@H](CN([H])[H])O)N', 'C(=O)[C@H]([C@@H](CN)O)N([H])[H]', 'C(=O)[C@H]([C@@H](CN([H])[H])O)N', 'C(=O)[C@H]([C@H](CN)O[H])N', 'C(=O)[C@@H]([C@H](CN)O[H])N', 'C(=O)[C@H]([C@H](CN)O)N([H])[H]', 'C(=O)[C@@H]([C@H](CN)O)N([H])[H]', 'C(=O)[C@@H]([C@@H](CN([H])[H])O)N'}
G2	PYMYPHUHKUWMLA	C(C(C(C(CO)O)O)O)=O	{'C(=O)[C@@H]([C@@H]([C@@H](CO)O)O)O[H]', 'C(=O)[C@H]([C@@H]([C@@H](CO)O)O[H])O', 'C(=O)[C@@H]([C@@H]([C@@H](CO[H])O)O)O', 'C(=O)[C@@H]([C@H]([C@@H](CO)O)O)O[H]', 'C(=O)[C@@H]([C@@H]([C@H](CO)O)O)O[H]', 'C(=O)[C@H]([C@H]([C@H](CO)O)O[H])O', 'C(=O)[C@H]([C@H]([C@@H](CO)O)O[H])O', 'C(=O)[C@@H]([C@@H]([C@H](CO)O[H])O)O', 'C(=O)[C@H]([C@@H]([C@H](CO[H])O)O)O', 'C(=O)[C@@H]([C@@H]([C@H](CO)O)O[H])O', 'C(=O)[C@H]([C@@H]([C@H](CO)O)O)O[H]', 'C(=O)[C@H]([C@H]([C@@H](CO)O)O)O[H]', 'C(=O)[C@H]([C@@H]([C@H](CO)O)O[H])O', 'C(=O)[C@H]([C@@H]([C@@H](CO)O)O)O[H]', 'C(=O)[C@H]([C@H]([C@H](CO)O[H])O)O', 'C(=O)[C@H]([C@H]([C@H](CO)O)O)O[H]', 'C(=O)[C@@H]([C@H]([C@H](CO)O[H])O)O', 'C(=O)[C@@H]([C@H]([C@@H](CO)O[H])O)O', 'C(=O)[C@H]([C@@H]([C@H](CO)O[H])O)O', 'C(=O)[C@@H]([C@@H]([C@@H](CO)O[H])O)O', 'C(=O)[C@H]([C@H]([C@H](CO[H])O)O)O', 'C(=O)[C@@H]([C@H]([C@@H](CO[H])O)O)O', 'C(=O)[C@@H]([C@H]([C@@H](CO)O)O[H])O', 'C(=O)[C@H]([C@H]([C@@H](CO[H])O)O)O', 'C(=O)[C@@H]([C@H]([C@H](CO)O)O)O[H]', 'C(=O)[C@@H]([C@@H]([C@H](CO[H])O)O)O', 'C(=O)[C@@H]([C@H]([C@H](CO)O)O[H])O', 'C(=O)[C@H]([C@H]([C@@H](CO)O[H])O)O', 'C(=O)[C@H]([C@@H]([C@@H](CO[H])O)O)O', 'C(=O)[C@H]([C@@H]([C@@H](CO)O[H])O)O', 'C(=O)[C@@H]([C@@H]([C@@H](CO)O)O[H])O', 'C(=O)[C@@H]([C@H]([C@H](CO[H])O)O)O'}
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	{'C(=O)[C@@H]([C@@H](CN([H])[H])O)O', 'C(=O)[C@H]([C@H](CN)O)O[H]', 'C(=O)[C@@H]([C@H](CN)O)O[H]', 'C(=O)[C@H]([C@@H](CN([H])[H])O)O', 'C(=O)[C@@H]([C@H](CN)O[H])O', 'C(=O)[C@H]([C@H](CN([H])[H])O)O', 'C(=O)[C@H]([C@H](CN)O[H])O', 'C(=O)[C@@H]([C@H](CN([H])[H])O)O', 'C(=O)[C@H]([C@@H](CN)O[H])O', 'C(=O)[C@@H]([C@@H](CN)O)O[H]', 'C(=O)[C@H]([C@@H](CN)O)O[H]', 'C(=O)[C@@H]([C@@H](CN)O[H])O'}
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	{'C(=O)[C@@H]([C@H](CO)O)N([H])[H]', 'C(=O)[C@H]([C@H](CO)O[H])N', 'C(=O)[C@H]([C@H](CO)O)N([H])[H]', 'C(=O)[C@@H]([C@@H](CO)O[H])N', 'C(=O)[C@H]([C@@H](CO)O)N([H])[H]', 'C(=O)[C@H]([C@H](CO[H])O)N', 'C(=O)[C@H]([C@@H](CO[H])O)N', 'C(=O)[C@@H]([C@@H](CO)O)N([H])[H]', 'C(=O)[C@@H]([C@H](CO[H])O)N', 'C(=O)[C@H]([C@@H](CO)O[H])N', 'C(=O)[C@@H]([C@@H](CO[H])O)N', 'C(=O)[C@@H]([C@H](CO)O[H])N'}
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	{'C(=O)(CO[H])[C@@H](CO)O', 'C(=O)(CO)[C@H](CO[H])O', 'C(=O)(CO)[C@@H](CO[H])O', 'C(=O)(CO)[C@@H](CO)O[H]', 'C(=O)(CO)[C@H](CO)O[H]', 'C(=O)(CO[H])[C@H](CO)O'}
G2	UAOKRFJFLAUQNR	C(CNCC=O)(C(CO)O)=O	{'C(=O)CNCC(=O)[C@@H](CO)O[H]', 'C(=O)CNCC(=O)[C@H](CO)O[H]', 'C(=O)CNCC(=O)[C@@H](CO[H])O', 'C(=O)CNCC(=O)[C@H](CO[H])O'}
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	{'C(=O)(CN)[C@@H](CO)O[H]', 'C(=O)(CN)[C@H](CO[H])O', 'C(=O)(CN)[C@@H](CO[H])O', 'C(=O)(CN([H])[H])[C@@H](CO)O', 'C(=O)(CN)[C@H](CO)O[H]', 'C(=O)(CN([H])[H])[C@H](CO)O'}
