Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
4_0,13.368889060559638,1.6477739594969993,True,False,False
4_1,13.368889060559638,1.6477739594969993,True,False,False
6_0,-2.0015249341370236,0.4684348836974412,True,True,True
9_0,301.4002792126813,100000.00008918784,False,False,False
9_1,301.4002792126813,100000.00008918784,False,False,False
11_0,-41.014262475201065,1.24685410860712,True,True,True
13_0,-41.014262475201065,1.24685410860712,True,True,True
15_0,-41.014262475201065,1.24685410860712,True,True,True
17_0,-41.014262475201065,1.24685410860712,True,True,True
19_0,-41.014262475201065,1.24685410860712,True,True,True
21_0,-41.014262475201065,1.24685410860712,True,True,True
23_0,-45.40449941646824,1.4156030322241335,True,True,True
25_0,-39.01282031369209,1.2616238877207056,True,True,True
27_0,-1.4535415716890157,1.1070389810184753,True,True,False
29_0,-4.155446263761974,0.7108983402116479,True,True,True
31_0,-7.006371925503345,1.5166983789025281,True,True,True
33_0,-88.26573860342478,6.979023060153432,True,True,True
33_1,-88.26573860342478,6.979023060153432,True,True,True
35_0,-91.11726384561848,6.908627075808763,True,True,True
35_1,-91.11726384561848,6.908627075808763,True,True,True
36_0,-86.7270269043513,6.945249059557174,True,True,True
38_0,-68.51058941666213,7.0205537434442755,True,True,True
38_1,-68.51058941666213,7.0205537434442755,True,True,True
39_0,-16.392518396181572,3.1212394294733836,True,True,True
39_1,-16.392518396181572,3.1212394294733836,True,True,True
40_0,-13.368889060559695,1.6477739594969991,True,True,True
40_1,-13.368889060559695,1.6477739594969991,True,True,True
42_0,303.4017521274226,100000.00008708918,False,False,False
42_1,303.4017521274226,100000.00008708918,False,False,False
44_0,-303.40175212742264,100000.00008708918,False,False,False
45_0,16.392518396181572,3.1212394294733836,True,False,False
45_1,16.392518396181572,3.1212394294733836,True,False,False
48_0,10.168715929380937,2.277709204753575,True,False,False
48_1,10.168715929380937,2.277709204753575,True,False,False
50_0,4.312391908759906,1.6682331887911208,True,False,False
52_0,13.368889060559752,1.6477739594969993,True,False,False
52_1,13.368889060559752,1.6477739594969993,True,False,False
54_0,-48.288747301253466,7.992520243537185,True,True,True
57_0,5.954995998807192,0.7805433064575087,True,False,False
60_0,29.595376028314462,1.428166683547855,True,False,False
60_1,29.595376028314462,1.428166683547855,True,False,False
62_0,13.368889060559752,1.6477739594969993,True,False,False
62_1,13.368889060559752,1.6477739594969993,True,False,False
64_0,10.345259724937932,0.8681795068803964,True,False,False
64_1,10.345259724937932,0.8681795068803964,True,False,False
66_0,25.205035832195733,1.5919692024838479,True,False,False
67_0,13.368889060559752,1.6477739594969993,True,False,False
67_1,13.368889060559752,1.6477739594969993,True,False,False
70_0,-57.514849475929225,7.777567688041274,True,True,True
71_0,-43.89851035998629,7.990150867457925,True,True,True
71_1,-43.89851035998629,7.990150867457925,True,True,True
72_0,-53.12461253466205,7.791577842946945,True,True,True
72_1,-53.12461253466205,7.791577842946945,True,True,True
74_0,13.368889060559638,1.6477739594969993,True,False,False
74_1,13.368889060559638,1.6477739594969993,True,False,False
77_0,6.124141954711035,1.3032675159556373,True,False,False
78_0,0.0,0.0,True,False,False
80_0,-2.0014766670836934,0.46843488369744113,True,True,True
81_0,2.0015249341370236,0.4684348836974412,True,False,False
83_0,8.277262816136499e-05,0.0,True,False,False
85_0,0.0,0.0,True,False,False
87_0,-2.0014421615087485,0.4684348836974412,True,True,True
89_0,0.0,0.0,True,False,False
91_0,-2.0014421615087485,0.4684348836974412,True,True,True
93_0,0.0,0.0,True,False,False
95_0,-2.0014421615087485,0.4684348836974412,True,True,True
97_0,0.0,0.0,True,False,False
99_0,-2.0014421615087485,0.4684348836974412,True,True,True
101_0,2.001442161508976,0.4684348836974412,True,False,False
103_0,-2.0015860021125604,0.4684348836974412,True,True,True
105_0,0.0,0.0,True,False,False
107_0,-2.001442161508976,0.4684348836974412,True,True,True
109_0,298.3766806302919,100000.000101378,False,False,False
111_0,301.40029905425376,100000.00008918784,False,False,False
113_0,301.40030996591395,100000.00008918784,False,False,False
115_0,301.40030996591395,100000.00008918784,False,False,False
117_0,301.40030996591395,100000.00008918784,False,False,False
118_0,301.40030996591395,100000.00008918784,False,False,False
119_0,301.40030996591395,100000.00008918784,False,False,False
120_0,301.40030996591395,100000.00008918784,False,False,False
122_0,301.40030996591383,100000.00008918784,False,False,False
124_0,301.4003099659137,100000.00008918784,False,False,False
126_0,301.4003099659137,100000.00008918784,False,False,False
128_0,-83.87920152706025,2.4646250843572943,True,True,True
130_0,-61.104951832743495,1.6338024626802503,True,True,True
132_0,301.40027921268154,100000.00008918784,False,False,False
134_0,301.40027921268154,100000.00008918784,False,False,False
136_0,301.40027921268154,100000.00008918784,False,False,False
138_0,301.40027921268154,100000.00008918784,False,False,False
140_0,301.40027921268154,100000.00008918784,False,False,False
142_0,301.40027921268154,100000.00008918784,False,False,False
144_0,301.40027921268154,100000.00008918784,False,False,False
146_0,301.40027921268154,100000.00008918784,False,False,False
148_0,301.40027921268154,100000.00008918784,False,False,False
150_0,-91.59184078029057,6.863855719702931,True,True,True
150_1,-91.59184078029057,6.863855719702931,True,True,True
152_0,-71.83669159352792,6.902105105693943,True,True,True
152_1,-71.83669159352792,6.902105105693943,True,True,True
154_0,-10.72778614335084,1.7581471621982618,True,True,True
154_1,-10.72778614335084,1.7581471621982618,True,True,True
155_0,-371.9105916791822,100000.00009190453,False,False,False
156_0,-41.014262475200894,1.24685410860712,True,True,True
157_0,-41.014262475200894,1.24685410860712,True,True,True
158_0,-102.67189883701411,7.970492757049206,True,True,True
159_0,-39.01282031369203,1.2616238877207056,True,True,True
160_0,-41.01417970257279,1.24685410860712,True,True,True
161_0,-41.01417970257279,1.24685410860712,True,True,True
162_0,-41.01417970257279,1.24685410860712,True,True,True
163_0,-41.01417970257279,1.24685410860712,True,True,True
164_0,-45.40456048444378,1.4156030322241335,True,True,True
165_0,-39.01273754106404,1.2616238877207056,True,True,True
166_0,-41.014262475201065,1.24685410860712,True,True,True
167_0,-41.014262475201065,1.24685410860712,True,True,True
168_0,-41.014262475201065,1.24685410860712,True,True,True
169_0,-41.014262475201065,1.24685410860712,True,True,True
170_0,-41.014262475201065,1.24685410860712,True,True,True
171_0,-41.014262475201065,1.24685410860712,True,True,True
172_0,-45.40449941646824,1.4156030322241335,True,True,True
173_0,-39.01282031369209,1.2616238877207056,True,True,True
174_0,-39.01278956045985,1.2616238877207056,True,True,True
175_0,-45.40446866323589,1.4156030322241338,True,True,True
176_0,-41.0142317219686,1.24685410860712,True,True,True
177_0,-41.0142317219686,1.24685410860712,True,True,True
178_0,-41.0142317219686,1.24685410860712,True,True,True
180_0,-41.01426247520078,1.2468541086071199,True,True,True
182_0,-41.0142640891566,1.2468541086071199,True,True,True
184_0,-45.404506625735735,1.4156030322241335,True,True,True
186_0,-39.01282031369203,1.2616238877207053,True,True,True
188_0,-41.01426247520078,1.2468541086071199,True,True,True
190_0,-41.01426247520078,1.2468541086071199,True,True,True
192_0,-45.40449941646807,1.4156030322241335,True,True,True
194_0,-39.01282031369203,1.2616238877207053,True,True,True
196_0,-45.40449941646807,1.4156030322241335,True,True,True
198_0,-39.01282031369203,1.2616238877207053,True,True,True
200_0,-45.40449941646807,1.4156030322241335,True,True,True
202_0,-39.01282031369203,1.2616238877207053,True,True,True
203_0,-41.01426247520078,1.2468541086071199,True,True,True
204_0,-41.01426247520078,1.2468541086071199,True,True,True
205_0,-41.0142640891566,1.2468541086071199,True,True,True
206_0,-41.01426247520078,1.2468541086071199,True,True,True
207_0,-41.01426968446856,1.2468541086071199,True,True,True
208_0,-41.014262475200894,1.2468541086071199,True,True,True
209_0,-41.014262475200894,1.2468541086071199,True,True,True
210_0,-41.014262475200894,1.2468541086071199,True,True,True
211_0,-41.01426247520101,1.24685410860712,True,True,True
212_0,-41.01426247520101,1.24685410860712,True,True,True
213_0,-41.01426247520101,1.24685410860712,True,True,True
214_0,-41.01426247520101,1.24685410860712,True,True,True
216_0,-65.87823498238691,2.334296092504949,True,True,True
218_0,-51.688973116537056,2.271760342458757,True,True,True
220_0,-51.688973116537056,2.271760342458757,True,True,True
222_0,-51.688973116537056,2.271760342458757,True,True,True
224_0,-45.40449941646813,1.4156030322241335,True,True,True
226_0,-39.01282031369209,1.2616238877207056,True,True,True
228_0,-65.8776354019347,2.3342960925049487,True,True,True
230_0,-51.68844902545584,2.271760342458757,True,True,True
232_0,-51.68837353608484,2.271760342458757,True,True,True
234_0,-51.68837353608484,2.271760342458757,True,True,True
236_0,-51.68837353608484,2.271760342458757,True,True,True
238_0,-51.68837353608484,2.271760342458757,True,True,True
240_0,-65.87823498238691,2.3342960925049487,True,True,True
242_0,-51.68897311653694,2.271760342458757,True,True,True
244_0,-51.68897311653694,2.271760342458757,True,True,True
246_0,-51.68897311653694,2.271760342458757,True,True,True
248_0,-51.68897311653694,2.271760342458757,True,True,True
250_0,-51.68897311653694,2.271760342458757,True,True,True
252_0,-51.68897311653694,2.271760342458757,True,True,True
254_0,-51.68897311653694,2.271760342458757,True,True,True
256_0,-0.43158880879650496,1.4927180897404106,True,True,False
258_0,-0.43158880879650496,1.4927180897404106,True,True,False
260_0,-0.43158880879650496,1.4927180897404106,True,True,False
262_0,-2.2967880031285404,1.9554233999038124,True,True,False
264_0,-0.43158880879650496,1.4927180897404106,True,True,False
266_0,-0.43158880879661865,1.4927180897404106,True,True,False
267_0,41.01426247520101,1.24685410860712,True,False,False
268_0,39.012820313692146,1.2616238877207053,True,False,False
269_0,41.01426247520101,1.24685410860712,True,False,False
270_0,41.01426247520101,1.24685410860712,True,False,False
271_0,41.01426247520101,1.24685410860712,True,False,False
272_0,41.01426247520101,1.24685410860712,True,False,False
273_0,41.01426247520101,1.24685410860712,True,False,False
274_0,45.404499416468184,1.4156030322241335,True,False,False
275_0,39.01282031369203,1.2616238877207053,True,False,False
277_0,-1.6043342941511582,1.8237228261692395,True,True,False
279_0,-2.6278986838449327,0.7185917247886361,True,True,True
280_0,-12.128252213025007,2.4052864781260372,True,True,True
282_0,6.452457088953679,1.318603411103508,True,False,False
283_0,-12.128252213025007,2.4052864781260372,True,True,True
285_0,-2.778201587045828,1.3185865016371259,True,True,True
287_0,6.302236958380945,2.358661038135446,True,False,False
289_0,6.452457088953679,1.318603411103508,True,False,False
291_0,-2.627981456473208,0.7185917247886361,True,True,True
292_0,-1.453541571688902,1.1070389810184758,True,True,False
294_0,7.626896973737757,1.870567293077215,True,False,False
295_0,-1.4535415716890157,1.1070389810184755,True,True,False
297_0,-5.479423926038635,1.4645843783096253,True,True,True
298_0,-14.829557324645748,1.880748034999429,True,True,True
300_0,3.6009318467600906,2.1749578314908367,True,False,False
301_0,-14.829557324645748,1.880748034999429,True,True,True
302_0,-14.829557324645748,1.880748034999429,True,True,True
303_0,-14.829557324645748,1.880748034999429,True,True,True
305_0,4.925591862116903,1.240840755136477,True,False,False
306_0,-17.681082566839223,2.5957046488862745,True,True,True
307_0,-17.681082566839223,2.5957046488862745,True,True,True
308_0,-17.681082566839223,2.5957046488862745,True,True,True
309_0,-17.681082566839223,2.5957046488862745,True,True,True
310_0,-17.681082566839223,2.5957046488862745,True,True,True
311_0,-17.681082566839223,2.5957046488862745,True,True,True
312_0,1.4535415716890157,1.1070389810184753,True,False,False
313_0,4.155446263761974,0.7108983402116479,True,False,False
314_0,7.006371925503345,1.5166983789025281,True,False,False
316_0,-338.7999917434373,100000.00009051108,False,False,False
