INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
PEPJGLGUVINFJT	G3	C(C(C=CC(CO)O)O)(O)=O	3	-56.709999999999994
YVXXPGROVYTBAL	G3	C(C(CC(CO)=O)O)(O)=O	NaN	NaN
HDGNQJMIIPXNJZ	G3	C(C(C(C(C)=O)O)O)(O)=O	5	-206.51
JYPFTOPPKDHQEW	G3	C(C(C(C=O)O)O)(O)=O	NaN	NaN
VPNBLFIVNKFHGY	G3	C(C)(C(CO)(C(C=O)O)O)=O	NaN	NaN
QJEBIWGZDFAUAU	G3	C1(C(C(C(CO)C1O)O)O)=O	NaN	NaN
SABLHQLUOCAHMV	G3	C(C(C(CO)O)=O)(CCO)=O	5	-172.01
GYSCUAORHOFYBL	G3	C(C(CO)=O)(C(CCO)O)=O	NaN	NaN
OUJNZICMUOLQGP	G3	C(C(C(C(CCO)O)O)=O)=O	NaN	NaN
TXOVMBDXFHTOKH	G3	C(C(CO)O)(C(C(C)=O)O)=O	5	-176.4
PLFONWSYZWJLGP	G3	C(C(C)O)(C(C(CO)=O)O)=O	4	-47.4
BHIQKDNSGQRBRS	G3	C(C(C(C(C(C)O)O)=O)O)=O	NaN	NaN
KDSPLKNONIUZSZ	G3	C(C(CC(C(CO)O)O)O)=O	5	-185.28
DWRCPJZTWDRHQM	G3	C(C(CCO)O)(C(CO)O)=O	6	-187.28
UQZTYCQHZBCWQZ	G3	C(CO)(C(CC(CO)O)O)=O	6	-187.28
UCLAXLMTPFNPGE	G3	C(C(C(CO)O)O)(C(C)O)=O	4	-62.67
XHRNJZRZXZGBMY	G3	C(CO)(C(C(CCO)O)O)=O	3	-58.28
QOJKBNZXYZFGLT	G3	C1(C(C(CO)O)OCC1O)=O	NaN	NaN
NSEFGBGANVMEIR	G3	C1(C(CC(C(CO)O)O1)O)=O	3	-67.33
TWOSIGGTFLLPLQ	G3	C1(C(C(CO)OCC1O)O)=O	NaN	NaN
GTGDSXQRKKKXQC	G3	C1(C(CC(C(CO)O1)O)O)=O	3	-70.03
SFZJIWQYYLRQLK	G3	C1(C(CO)OC(CC1O)O)=O	6	-184.84
YEVOKMDALIJSDL	G3	C1(C(O)OC(CO)CC1O)=O	NaN	NaN
PWBXJGMQCOHUAQ	G3	C1(C(C(COCC1O)O)O)=O	NaN	NaN
GEROFWUZHDVEDM	G3	C1(C(CC(C(CO1)O)O)O)=O	3	-72.89
QTIDAWPRPJXIOG	G3	C1(C(CC(O)OCC1O)O)=O	6	-187.69
MEOHGBRMKAWTNN	G3	C1(C(O)OCC(CC1O)O)=O	NaN	NaN
WXTOYSWTFPUPNN	G3	C1(COC(C(CC1O)O)O)=O	6	-187.69
PFCZCTPDOYHDHY	G3	C1(C(CCOC(C1O)O)O)=O	NaN	NaN
NRZIVQMCTYBCJI	G3	C(CO)(C1(CC(CO1)O)O)=O	NaN	NaN
RTXYHPSDHUSVIE	G3	C(CO)(C1C(CC(O1)O)O)=O	NaN	NaN
VSWOJWCCFGZYAC	G3	C(C1C(C(C(C1O)O)O)O)O	3	-124.78999999999999
PEDCQBHIVMGVHV	G3	C(C(CO)O)O	NaN	NaN
FRJOXJBNQDZEBI	G3	C(C(C(CC(CO)O)O)O)=O	5	-185.28
LWWIYCLYWKAKRR	G3	C(C(C(C(CCO)O)O)O)O	3	-73.55
YSCIWCVUALZTQT	G3	C(C1(C(C(CC1O)O)O)O)O	3	-128.12
WRYOEBBYARWGSI	G3	C(CC1C(C(C(O)O1)O)O)O	3	-57.730000000000004
JRGCJZUUVRTGIZ	G3	C(C(CO)O)=CC(CO)=O	3	-58.709999999999994
WTJVBDMTLZBIGT	G3	C(CO)=CC(C(CO)O)=O	3	-58.709999999999994
VEDHYTPQIAWTBD	G3	C=CC(C(C(CO)O)O)=O	3	-60.58
FWHVARNGXXGMQK	G3	C(C(C(CO)O)O)=CC=O	3	-56.709999999999994
WJVUIZPDQGFJAP	G3	C(C(C(C=CCO)O)O)=O	3	-56.709999999999994
FSOZSKCETOKJSE	G3	C(C1(CC(C(CO)O1)O)O)O	NaN	NaN
IXNUVUJOIAMJCY	G3	C1C(C(C(CCO)(O)O1)O)O	3	-61.06
NVSADBZHHBPFAA	G3	C1C(CC(C(CO)O)(O)O1)O	NaN	NaN
OWUVXYXYMJSAKF	G3	CC1(C(C(C(CO)O1)O)O)O	3	-65.3
GJVJUCHZHYDRCU	G3	C(C(C1C(CC(O)O1)O)O)O	NaN	NaN
JEKRTNJYWCVAON	G3	C1C(C(CC(CO)(O)O1)O)O	NaN	NaN
PMMURAAUARKVCB	G3	C(C1C(C(CC(O)O1)O)O)O	NaN	NaN
RBNPOMFGQQGHHO	G3	C(C(CO)O)(O)=O	NaN	NaN
VLFRVDIMPKLKEE	G3	C(C(CO)O)=CC(C(O)=O)=O	3	-58.709999999999994
DDBPNMRENRUWPL	G3	C(C(C(C=CCO)=O)O)(O)=O	3	-99.28999999999999
BMYBOMOLGKNMBZ	G3	C(C=CC(C(CO)O)=O)(O)=O	3	-58.709999999999994
VQUXMAVITTVWDL	G3	C(C(C(C(C=C)=O)O)O)(O)=O	3	-60.58
FDUGJRLCNSXSPT	G3	C(C(C=CC(CO)=O)O)(O)=O	3	-99.28999999999999
MPOXKJPJDPYCBO	G3	C(C(C(C=CC=O)O)O)(O)=O	3	-56.709999999999994
VAHJEVMRMFYFEN	G3	C(C(C(C=CC(O)=O)O)O)=O	3	-56.709999999999994
HKXCKZVYORVQST	G3	C1(C(CC(C1(CO)O)O)O)=O	6	-261.6
NCKMZWFKQTWDTD	G3	C1C(C(C(C=1)=O)(CO)O)O	3	-184.29
DAGUNFGFQCYQSP	G3	C(C1(C(C=CC1O)O)O)=O	3	-137.3
KSPZMTWVXVIPRP	G3	C(C(CO)(C(C(C)=O)O)O)=O	NaN	NaN
LLKJMSOIEJAFOF	G3	C(C(CO)(C(C=O)(C)O)O)=O	NaN	NaN
YAVWISVERGTOHY	G3	C(C(CO)(C(C=O)O)O)=O	NaN	NaN
OUEKYUKJSLEOIU	G3	C(C(CO)(CO)O)=O	NaN	NaN
DWUQTAJMGQSMRJ	G3	C(C(CO)(C(CO)(C)O)O)=O	NaN	NaN
JQKDKERJPQSZLX	G3	C(C(CO)(C(C)O)O)=O	NaN	NaN
QVHLVPFFZOJXII	G3	C(C)(C(CO)(C(C(C)=O)O)O)=O	5	-183.91
DMALJGRNDOXCPP	G3	C(C(C)(C(C(C)=O)(CO)O)O)=O	5	-179.27
QCAMOOCSJLONRY	G3	C(C(C(C)=O)(C(CO)(C)O)O)=O	NaN	NaN
UBXSGWANZATOLV	G3	C(C)(C(CO)(CO)O)=O	NaN	NaN
RXFAVOSFWUEUKD	G3	C(C)(C(CO)(C(CO)(C)O)O)=O	5	-189.03
VGFWQNYTGUGVTP	G3	C(C)(C(CO)(C(C)O)O)=O	5	-179.26999999999998
KNWXMEXZFWGIPP	G3	C(CO)(C(CO)(CO)O)=O	NaN	NaN
MEAMAPCLLMMUMH	G3	C(C(C(C=CCO)=O)(CO)O)=O	NaN	NaN
FDRNHHBGRYBJAX	G3	C(C=CC(C(CO)(CO)O)=O)=O	NaN	NaN
ITUYZFAXCHXSFC	G3	C(C(CO)(C(C(C=C)=O)O)O)=O	NaN	NaN
RPVJECPAFFSKCS	G3	C(C(C(C(C=C)=O)(CO)O)O)=O	NaN	NaN
QLBBMBPWYBBMBG	G3	C(C(CO)(C(C=CC=O)O)O)=O	NaN	NaN
ARLBFAVZOWIULF	G3	C(C(C(C)O)(C(C(C)=O)O)O)=O	5	-279.19
XNANRWWINILNSI	G3	C(C)(C(C(C)O)(C(C=O)O)O)=O	5	-279.19
FNDCADSNRZBCGL	G3	C(C(C=O)(C(CO)(C)O)O)=O	NaN	NaN
NMHIUKCEPXGTRP	G3	C(C(C(C)O)(C(C=O)O)O)=O	NaN	NaN
CLUAZGGJJOMMPW	G3	C(CO)(C(CO)(C(C)O)O)=O	4	-118.6
XUSNIIKGKKSRDZ	G3	C(C(CO)(C(CO)O)O)=O	NaN	NaN
UZMKAOBHDMJGHD	G3	C(C(C(C)=O)(C(CO)O)O)=O	4	-171.76
PMOJLRZULAMBAW	G3	C(C)(C(CO)(C(CO)O)O)=O	5	-189.03000000000003
YISRPXDHUJCRAD	G3	C(C(C=O)(C(CO)O)O)=O	NaN	NaN
DXBKAMXGCDVWGR	G3	C(C(C(CO)O)(C(C)O)O)=O	4	-284.3
WNJJVRVCOPWVRL	G3	C(C1(C(C(C(C1)O)O)O)O)=O	5	-239.85000000000002
TYRPXPNVMPXQFO	G3	C1(C(C(C(C1(C)O)O)O)O)=O	4	-146.07
AZFXWNDHXWNFRE	G3	C(C(C)(C(C(O)=O)O)O)=O	NaN	NaN
RHBBDYUCVCIMPI	G3	C(C(CO)(CC(CO)=O)O)=O	NaN	NaN
AQVXRWRSDDQOEK	G3	C(C(C(C)O)(CC(CO)=O)O)=O	NaN	NaN
RRADNGBQFCKXCM	G3	C(C(C=CC(CO)=O)(CO)O)=O	NaN	NaN
VECIWFWVMKZNGW	G3	C(C(C(CO)(C)O)(CC=O)O)=O	4	-165.37
UAIZUGKXCFPNDO	G3	C(C(C(CO)(C)O)O)(O)=O	NaN	NaN
LOUGYXZSURQALL	G3	C(C(C(C)O)O)(O)=O	NaN	NaN
TXIVWMLJMZFCNJ	G3	C(C(C(CO)O)(CC=O)O)=O	4	-165.37
JPNOFZPGVHGIAU	G3	C(C(C)=O)(C(C(CO)O)O)=O	5	-176.4
LKAPTZKZHMOIRE	G3	C(C1C(C(C(CO)O1)O)O)=O	3	-31.24
KTLCKBKJSIVXON	G3	C1(C(CO)OC(CO)C1O)=O	3	-52.99
QYQCBFODTYUOSC	G3	C1(C(CO)(O)OC(CO)C1)=O	3	-56.32
LIYCBIFUBQINMK	G3	C1(C(CO)OC(CO)(C1)O)=O	3	-56.32
XRZIPPNVYYPJBM	G3	C(C1C(C(C(CO1)O)O)O)=O	3	-34.09
VWKFMAHZLVYIFW	G3	C1(C(CO)OCC(C1O)O)=O	3	-55.84
NGIIKESDRNWDEO	G3	C1(C(CO)(O)OCC(C1)O)=O	3	-59.17
FCYSCENWZKWMAC	G3	C1(C(COC(CO)(C1)O)O)=O	3	-59.17
NWOQDCMXLIYZAJ	G3	C1(C(C(CO)(O)OCC1)O)=O	3	-59.17
NSKSJXGXKDNHAA	G3	C1(COC(CO)(C(C1)O)O)=O	3	-59.17
CBWBGYDXIWXIHP	G3	C1C(C(C(C=1CO)=O)O)O	3	-180.62
JGHJHABNRFRNGH	G3	C=C1C(C(C(C1O)O)O)=O	3	-174.01999999999998
KGLYOIKUJWTFEE	G3	C1C(C(C(C=1C=O)O)O)O	3	-158.86
JCOCWZYTGFRYRY	G3	C(C(C(CO)O)O)=CC(O)=O	3	-56.709999999999994
WQQZDGCRNHAIIP	G3	C(C(C(C(C=C)O)O)O)=O	3	-58.58
QLOMKXZUWLQDPB	G3	C(C1(C=CC(C1O)O)O)=O	3	-137.31
ROHQSBZWNCEWCP	G3	C12C(C(C(CC1O)(O)O2)O)O	3	-281.34000000000003
ZNAUFJHITFLCAF	G3	C1(C2C(C(C(C2O)O1)O)O)O	3	-455.15999999999997
LWRLONYMTNKGJW	G3	C(C1(C(CC(CO)O1)O)O)=O	NaN	NaN
SRYDSSXHWQEQKB	G3	C1(COC(C(CO)O)(C1)O)=O	3	-56.459999999999994
QHHHDODRSCICNF	G3	C(C1CC(C(CO)(O1)O)O)=O	NaN	NaN
HFNUOKJDJCGUJM	G3	C(CO)(C1CC(C(O1)O)O)=O	NaN	NaN
YFLFQGBASSFMRD	G3	C1(COC(CCO)(C1O)O)=O	3	-65.53999999999999
VTAFYLCIGMKPNS	G3	C1(C(CCO)OC(C1O)O)=O	NaN	NaN
WBWYHLPBUPBTFS	G3	C(C(C1(C(CCO1)O)O)O)=O	NaN	NaN
NMRPPLQOBQIKCK	G3	C(C(C1CC(C(O)O1)O)O)=O	NaN	NaN
QNCQYJVFLPRRNO	G3	C1(C2(C(C(CC2O)O1)O)O)O	3	-281.34000000000003
JMRQIXORMXHUAU	G3	C1C2(C(C(C(CO)O2)O1)O)O	3	-205.04999999999998
YFLUZLGALSXXRB	G3	C1C2(C(C(C(CO1)O2)O)O)O	3	-207.91
XRBJMPBHRHWXBF	G3	C(C1(C(CC(CO1)O)O)O)=O	NaN	NaN
UWYSZJDSGJVXIX	G3	C1(COC(CO)(CC1O)O)=O	3	-59.16
PETLSUCAXIXBRS	G3	C(C1C(CC(C(O1)O)O)O)=O	NaN	NaN
