INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
LBTUWKWHCNBHBP	G3	C(CC(CN)(C(CO)O)O)=O	3	-109.41
HQMRFNOKWQUHQC	G3	C(CC(C(CO)(CO)O)O)=O	3	-136.89
VPCLNTDBLHAJNA	G3	C(C(C=O)C(C(CN)O)O)=O	NaN	NaN
KEZKOUJRKCLMLA	G3	C(C(CC(C(CN)O)O)=O)=O	3	-134.94
GRAYIZYZTZDMHO	G3	C(CC(C(CN)O)O)=O	3	-128.28
MYNDUSHUEWHKOA	G3	C(CC(C(C(CO)N)O)O)=O	3	-105.32
XBBIACPUMILHFE	G3	C(CN)(C(C(C(CO)O)O)O)=O	3	-95.93
WENKHRNUXJHGLX	G3	C(CO)(C(C(C(CO)O)O)N)=O	NaN	NaN
AKTMIDGTSNJTSP	G3	C(C(C=O)C(C(CO)O)O)=O	3	-107.87
ZGCHLOWZNKRZSN	G3	C(C(CC(C(CO)O)O)=O)=O	3	-116.6
ASJSAQIRZKANQN	G3	C(CC(C(CO)O)O)=O	3	-109.94
VRYALKFFQXWPIH	G3	C(CC(C(C(CO)O)O)O)=O	3	-93.71
MRRZYOMOIUDFAO	G3	C(C(C(C(C(CN)O)N)O)N)=O	NaN	NaN
WQGGDNMZQLYAIJ	G3	C(C(C(C(CO)N)O)N)=O	NaN	NaN
GXAVXHQQZLYQMO	G3	C(C(C(C(C(CN)O)O)O)N)=O	NaN	NaN
BCHSITVTOAFIPR	G3	C(C(C(C(C(CO)O)N)O)N)=O	NaN	NaN
ZSXYDPAMQLXZSJ	G3	C(C(C(CO)(CO)O)N)=O	NaN	NaN
NSKJHRGIUMZEHF	G3	C(CO)(C(C(CN)O)O)=O	3	-66.33
BSZQLDXZWYISLD	G3	C(C(C(CO)(C(CO)O)O)N)=O	NaN	NaN
ZEUGDKYVUVLZTO	G3	C(C(C(CN)O)O)(C(CO)O)=O	3	-50.1
ASMJPAWXLLYEGB	G3	C(C(C(CN)(CO)O)N)=O	NaN	NaN
VZZJVRSIHGEVPT	G3	C(CN)(C(C(CN)O)O)=O	3	-84.66999999999999
UBYNXIGHTJSTMH	G3	C(CO)(C(C(CN)O)N)=O	NaN	NaN
LTJICWLEGLOXNN	G3	C(C(C(CN)(C(CO)O)O)N)=O	NaN	NaN
OHFDQMUPUZOXSD	G3	C(C(CO)O)(C(C(CN)O)N)=O	NaN	NaN
QJTNNTOOOXBQFZ	G3	C(C(C(CNCC=O)O)N)=O	NaN	NaN
YLEVJUSOCIAMDO	G3	C(C(C(CN)O)NCC=O)=O	NaN	NaN
IPEVWGCBOFEPDL	G3	C(C(C(C(CO)(CO)O)O)N)=O	NaN	NaN
ODILWJGXAOWKPR	G3	C(C(CCO)(C(C=O)N)O)=O	NaN	NaN
RBDNNFSBBBQPHT	G3	C(C(C(C(CCO)=O)O)N)=O	NaN	NaN
KAYFMIAIBMIIQD	G3	C(C(C(CO)C(CN)O)=O)=O	3	-82.38
YBOLBHFYGABWMJ	G3	C(CC(C(C(C=O)N)O)O)=O	3	-80.38
AHGCTZMUBPZLOK	G3	C(C(C(CC(C=O)O)O)N)=O	3	-80.38
RWMSZEVIXBQAJL	G3	C(C(C(CN)O)C(C=O)O)=O	3	-80.38
VNBYXOQOCGWZFJ	G3	C(C(C(CC(CO)=O)O)N)=O	NaN	NaN
WKIWQZKYQRMNFP	G3	C(CC(CO)(C(C=O)N)O)=O	NaN	NaN
DCWPTWSYZMWKIL	G3	C(C(C(CO)=O)C(CN)O)=O	3	-82.38
VMCCARNNUOIRPT	G3	C(CC(C(C(CN)O)O)=O)=O	3	-101.94000000000001
URYGCMBOMHUVKQ	G3	C(C(C(C(C(C)=O)O)O)N)=O	NaN	NaN
RFTGWPCIEOLYOI	G3	C(C(C(C)(C(C=O)O)O)N)=O	NaN	NaN
ZMEILYOCLSHQDN	G3	C(C(C(CC(CN)O)=O)O)=O	3	-146.07
BZWJDVIAXBESMP	G3	C(C(C(C(CN)O)O)N)=O	3	-75.94
YNGPNKGOVIJJPV	G3	C(C(C(C(C(CO)N)O)O)N)=O	3	-52.980000000000004
WXYXERHRDKEISL	G3	C(C(CO)O)(C(CO)O)=O	3	-47.99
BLFFPJTYWVTAHQ	G3	C(CNC(C(CO)=O)CO)=O	NaN	NaN
RECPPMRZTCHEQB	G3	C(C(CO)NCC(CO)=O)=O	NaN	NaN
MTPLMYSUTMBRKU	G3	C(CO)(C(CO)N)=O	3	-75.83
YHKGTFSEJPIKDQ	G3	C(C(CO)O)(C(CO)N)=O	NaN	NaN
DKKPLPKHWBBOFN	G3	C(C(CO)NCC(C=O)O)=O	NaN	NaN
GMTVWYIYSJHFTN	G3	C(C(C(C(C(CN)O)N)O)O)=O	NaN	NaN
YECZZWUIAXEARY	G3	C(C(C(C(CO)N)O)O)=O	3	-57.6
HDXVFGYNQCBFKD	G3	C(C(C(C(C(CN)O)O)O)O)=O	3	-48.099999999999994
RQRVMSIARGXSFL	G3	C(C(C(C(C(CO)O)N)O)O)=O	3	-41.37
AVGPOAXYRRIZMM	G3	C(C(C(CO)(CO)O)O)=O	3	-43.349999999999994
ZAQJHHRNXZUBTE	G3	C(CO)(C(C(CO)O)O)=O	3	-47.989999999999995
CMOZXEKFRDIDCA	G3	C(C(C(CO)(CN)O)O)=O	3	-61.69
ZGPHAZHLWWSPMV	G3	C(CN)(C(C(CO)O)O)=O	3	-66.33
HPQGIDPCWDOJIW	G3	C(CO)(C(C(CO)O)N)=O	NaN	NaN
NVKBOABANWTAIG	G3	C(C(C(CN)(C(CO)O)O)O)=O	3	-45.46
GPXGXDDVGOODPV	G3	C(C(CO)O)(C(C(CO)O)N)=O	NaN	NaN
YJHMQYUDHZBFML	G3	C(C(C(CNCC=O)O)O)=O	3	-59.309999999999995
TUTZJMYSGHJPQJ	G3	C(C(C(CO)O)NCC=O)=O	NaN	NaN
FAGPJBHKKUOQAR	G3	C(C(CCO)(C(C=O)O)O)=O	3	-66.13
KTQQRSZBGCOSES	G3	C(C(C(C=O)O)O)(CCO)=O	3	-70.77
JOEMRRCMXVASPX	G3	C(C(C(CO)C(CO)O)=O)=O	3	-64.03999999999999
DRFVLWXFACEMHK	G3	C(CC(C(C(C=O)O)O)O)=O	3	-68.77
ZAZMXMODCOTURY	G3	C(C(C(CC(C=O)O)O)O)=O	3	-68.77
HIPAGLNATSXMFT	G3	C(C(C(CO)O)C(C=O)O)=O	3	-62.04
ZNSXGNZNZVWMBM	G3	C(C(C(CC(CO)=O)O)O)=O	3	-70.77000000000001
IEHDXMKHICIRFU	G3	C(CC(CO)(C(C=O)O)O)=O	3	-66.13
SSUDYWNAIOLNKR	G3	C(C(C(CO)=O)C(CO)O)=O	3	-64.05
RXVDSZVTHMJWNV	G3	C(CC(C(C(CO)O)O)=O)=O	3	-83.60000000000001
MKKWPESNDMZCAX	G3	C(C(C(C(C(C)=O)O)O)O)=O	3	-75.16
LTIXNERYDWMFRC	G3	C(C(C(C)(C(C=O)O)O)O)=O	NaN	NaN
QBHBJCPWTMMDIG	G3	C(C(C(CC(CO)O)=O)O)=O	3	-127.73
IKHXAQXDRKSBCU	G3	C(C(C(C(CN)O)O)O)=O	3	-64.33
KLXQAXYSOJNJRI	G3	C(C(C(C(C(CO)N)O)O)O)=O	3	-41.37
UFYGCFHQAXXBCF	G3	C(C(CCO)O)(O)=O	3	-72.67
VDSAQEDKJUSZPS	G3	C(C(C(C(CO)O)O)=O)=O	NaN	NaN
HVTGQMWTDDUILK	G3	C(CO)(C(CN)O)=O	3	-36.73
OOPUUCYNBACYQM	G3	C(CNCC(C(CO)=O)O)=O	3	-61.31
LZTRLXXHJRINGJ	G3	C(C(CO)NC(C=O)CO)=O	NaN	NaN
FTYYLXDHRJRTKI	G3	C(C(CN)NC(C=O)CO)=O	NaN	NaN
OFIXDAYHKFTXLH	G3	C(C(CO)NCC(CN)=O)=O	NaN	NaN
GUGUFYNTHTYQDA	G3	C(CNCCO)(C(CN)O)=O	3	-104.60000000000001
IPCYFWLLQPSXFL	G3	C(CNCC(O)=O)(C(CN)O)=O	3	-109.82
RJFHOFYTSBPZSK	G3	C(C(CO)NCCO)=O	3	-93.76
OYKSMKWNONGCFI	G3	C(C(CO)NCC(O)=O)=O	3	-98.99
YFTAWOLCSKSJJK	G3	C(C(C(CO)O)NCCO)=O	3	-77.53
OWXPCTOCSZTUMZ	G3	C(CO)(C(CO)NCCO)=O	3	-79.53
LJZWPLNPKGKISC	G3	C(C(C(CO)O)NCC(O)=O)=O	3	-82.75
QCRUGSPVHVWGIE	G3	C(CNC(C(CO)=O)CO)(O)=O	3	-84.75
FDOGJZRDUWNYFS	G3	C(C(CN)NCC(CO)=O)=O	NaN	NaN
GLICKJMOOWVWEL	G3	C(C(CN)NCCO)=O	NaN	NaN
WUZCOJVLLCEBKC	G3	C(C(CN)NCC(O)=O)=O	NaN	NaN
OATHWGIETBGFOU	G3	C(CNCC(CN)=O)(CO)=O	NaN	NaN
WEZDXDOOFLSVLU	G3	C(C(CN)NCC(C=O)O)=O	NaN	NaN
IZWKPUUGHAWRQG	G3	C(CO)(C(CN)NCCO)=O	NaN	NaN
YOXDVGLCXFZYKL	G3	C(CNC(C(CO)=O)CN)(O)=O	NaN	NaN
IXPGLJQOFOUUJH	G3	C(CNCCO)(CN)=O	3	-93.25
DITJJUUJVMSKPO	G3	C(CNCCO)(C(CO)N)=O	3	-70.28999999999999
FFFDQOZJOWKGJX	G3	C(CNCC(CN)=O)(O)=O	NaN	NaN
MWAVKYSZWLNOTO	G3	C(CNCC(O)=O)(C(CO)N)=O	NaN	NaN
CSXVHWQAIQUYCR	G3	C(C(CNCC(CN)=O)O)=O	NaN	NaN
GCKJGOBNIHLMDF	G3	C(CN)(C(CN)O)=O	3	-55.07
UIKULCRCTCWVMN	G3	C(CO)(C(CNCC=O)N)=O	NaN	NaN
GUZLEIWFORGFKN	G3	C(CO)(C(CN)N)=O	NaN	NaN
