Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G5	C(C1COC(C1(CCO)O)O)=O	VSOCSXOBSAVGFO	15.8932	-1.7006	-0.146	5	3	86.99	-3.8575	5	168.93	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.39425309607807796
G5	C1C(CCO)(C(C(O)O1)CO)O	SHBCBTPCDHBYCD	8.71669	-1.4883	0.069	5	4	90.15	-1.3535	5	174.8	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.5341493429275925
G5	C(C1C(C(CO)C(O1)O)O)=O	PHUXFMUSODXHMY	24.0616	-2.1283	-0.145	5	3	86.99	-2.8413	5	150.66	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7740881993670784
G5	C1C(C)(C(C(O)O1)CO)O	YVDGIIAFRQCXMM	364.162	-1.016	-0.168	4	3	69.92	0.89604	4	146.56	148.073558864	C6H12O4	6	12	4	0.6666666666666666	2.0	0.6666666666666666	0.25301761139847495
G5	C(C(C1(C(CO)CCO1)O)O)=O	ZVPSRMZEEFQCCA	41.4035	-1.904	-0.284	5	3	86.99	-5.3276	5	167.91	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.39425309607807774
G5	C1(CC(C2(C(O)OCC12)O)O)=O	MYYVJENUEMEIEJ	42.245	-1.601	-0.284	5	3	86.99	1.6178	5	155.4	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5808705216839263
G5	C1(C(C2(C(CO)C1CO2)O)O)=O	IXSAJBOBYPGVSQ	42.0114	-1.782	-0.204	5	3	86.99	0.58182	5	156.04	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.6900106054584622
G5	C1(CC2(C(CO)(C1CO2)O)O)=O	YTZAGCYJNIRMHU	42.1619	-1.7533	-0.153	5	3	86.99	1.1393	5	155.47	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5831353889261385
G5	C1(CC2(C(CO)C1(CO2)O)O)=O	QJARGWCZCVBNAS	20.0221	-1.7533	-0.153	5	3	86.99	1.4617	5	157.72	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5831353889261385
G5	C1(C(O)OC(C(C)O)C1CO)=O	XOHIMCUXBKPWKU	367.818	-1.413	-0.359	5	3	86.99	-0.30471	5	165.62	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.3919882288358657
G5	C(C1(C(CO)C(C(C)O1)O)O)=O	AKYDDELZQAOMII	380.845	-1.864	-0.392	5	3	86.99	-1.1598	5	168.5	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.3919882288358657
G5	CC1C(C(C(CCO)(O)O1)O)O	MJHDBRSIJZYEHZ	396.554	-1.392	-0.395	5	4	90.15	-1.3117	5	174.88	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4261959374768015
G5	CC1C(C(CO)C(CO)(O)O1)O	KTWPJICMDVCVKO	1289.73	-1.6517	-0.177	5	4	90.15	0.79323	5	164.4	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.5318844756853797
G5	C(C1C(C(C(O1)O)C(C)O)O)=O	IJZANFYEWJTVTR	34.3928	-1.769	-0.523	5	3	86.99	-3.5723	5	169.08	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.393174907159611
G5	C1C(C)(C(C(O)O1)C(C)O)O	HXTQTFNMQVTECB	365.539	-0.6567	-0.546	4	3	69.92	-0.1695	4	162.16	162.089208928	C7H14O4	7	14	4	0.5714285714285714	2.0	0.5714285714285714	-0.12789568080899277
G5	CC(C1C(CC(CO)(O)O1)O)O	IGIVHMUYZZOENF	407.227	-1.5617	-0.395	5	4	90.15	-4.7476	5	176.15	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4261959374768015
G5	CC(C1C(C(C(C)(O)O1)O)O)O	MIAPSEVFCPYKDD	761.935	-1.4871	-0.503	5	4	90.15	-2.0359	5	174.76	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.42393107023458904
G5	C(C1(C(C(CO1)(C)O)O)O)=O	IDVJQKQFBOGQGA	94.8878	-2.0854	-0.071	5	3	86.99	-0.21182	5	150.06	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.6637614372687967
G5	C1(C(O)OC(CO)(C)C1O)=O	WYQZUIMIPFGPRN	399.926	-1.669	-0.038	5	3	86.99	-2.2923	5	148.5	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.6637614372687971
G5	C1(C(C)(O)OC(CO)(C)C1O)=O	SHSGIYCYGHTPBX	784.902	-1.4047	-0.285	5	3	86.99	-1.9884	5	165.9	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.28166146673758446
G5	CC(C1(COC(CO)(C1)O)O)O	CEKNMBVJHOISEK	63.1312	-1.5884	-0.126	5	4	90.15	-3.221	5	177.24	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4250092591530562
G5	C1C(C(C)O)(C(C(C)(O)O1)O)O	ZJSMUTUFYHGPHV	1749.41	-1.5138	-0.234	5	4	90.15	1.0278	5		178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.42274439191084373
G5	C1C(C)(C(C(C(C)O)(O)O1)O)O	ARAHTZRDZFPCEE	481.729	-1.5138	-0.234	5	4	90.15	1.1283	5	178.8	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.42274439191084373
G5	CC1C(CC(CO)(O)O1)O	YWJASHUPOQQBCO	378.259	-0.9943	-0.524	4	3	69.92	-2.8625	4	146.49	148.073558864	C6H12O4	6	12	4	0.6666666666666666	2.0	0.6666666666666666	0.1473290731898968
G5	CC1(C(C(C(C)O1)O)O)O	HKPYUQJGQQGZBF	764.297	-0.9197	-0.632	4	3	69.92	0.68414	4	146.02	148.073558864	C6H12O4	6	12	4	0.6666666666666666	2.0	0.6666666666666666	0.1450642059476841
G5	C1C2(C(CO1)OC(CO)(C2)O)O	UUACPFYBCQBDGL	86.7422	-1.8115	-0.1	5	3	79.15	-5.1859	5	163.54	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.4215411741490775
G5	CC1(C(C2(COCC2O1)O)O)O	SQIFFQQOUMAJIO	459.985	-1.7369	-0.208	5	3	79.15	0.19502	5	161.41	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.41927630690686457
G5	C1C(C2(C(C(CO2)(C)O)O1)O)O	COQWWUGJWBRSEZ	598.23	-1.7369	-0.208	5	3	79.15	-0.50441	5	162.38	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.41927630690686457
G5	C12C(CCO1)(CC(CO)(O)O2)O	LVEOFBLVKIQKRP	64.6725	-1.3099	-0.313	5	3	79.15	-4.3617	5	163.37	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.1637353083153807
G5	CC1(C(C2(C(OCC2)O1)O)O)O	ABTLSDHNLBCKFX	454.049	-1.2353	-0.421	5	3	79.15	1.9813	5	161.06	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.161470441073168
G5	C(C1C(CCO)OC(C1O)O)=O	PKZBAZXUHMJSEI	9.27972	-1.6739	-0.415	5	3	86.99	-4.1935	5	167.45	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.3954397744018237
G5	C(C1C(C(C)O)OC(C1O)O)=O	MHDAEGOVIXULQA	369.011	-1.769	-0.523	5	3	86.99	-3.5849	5	169.34	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.393174907159611
G5	C(C(C1C(O)OC(C)C1O)O)=O	KWUKDRJMHAUVID	350.838	-1.769	-0.523	5	3	86.99	-1.4421	5	169.16	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.39317490715961123
G5	C1(CC2(C(C(C(C2)O)O)O1)O)O	RNSRFUCXCQLPEL	2039.05	-1.6893	-0.451	5	4	90.15	-0.3843	5		176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.6162649086486078
G5	CC(C1C(CO)(CC(O)O1)O)O	ZXWGKWHUYOFQSK	377.985	-1.528	-0.257	5	4	90.15	-4.5978	5	172.28	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4261959374768015
G5	CC(C(C1(COC(C1)O)O)O)O	UUSIFUHNKAEPBE	377.528	-1.4934	-0.257	5	4	90.15	0.26808	5	173.87	178.084123548	C7H14O5	7	14	5	0.7142857142857143	2.0	0.7142857142857143	0.4261959374768015
