Network	Generation	Smiles
PyruvicAcid	G3	C(C(CC(C)O)(CC=O)O)(O)=O
PyruvicAcid	G3	C(C(C(C(C)O)C(C)O)=O)(O)=O
PyruvicAcid	G3	C(C(C)(CC(CC=O)O)O)(O)=O
PyruvicAcid	G3	C(C(C(C)O)C(C(O)=O)(C)O)=O
PyruvicAcid	G3	C(C(CC(CC(C)O)O)=O)(O)=O
