Smiles	Generation	Network
C=C(C(CO)O)C(C)O	G6	Formose
C=C(C(CO)O)C(CO)(C)O	G6	Formose
C=C(C(CO)O)C(CO)(CO)O	G6	Formose
C=C(C(CO)O)C(CO)CO	G6	Formose
C=C(C(CO)O)C(CO)O	G6	Formose
C=C(C(CO)O)CCO	G6	Formose
C=C(C(CO)O)N	G4	FormoseAmm
C=C(C=O)C(C(C(CO)N)O)=O	G4	GlucoseAmm
C=C(C=O)C(C(C(CO)O)N)=O	G4	GlucoseAmm
C=C(C=O)C(C(CCO)O)O	G5	Formose
C=C(C=O)C(C(CO)(C)O)O	G6	Formose
C=C(C=O)C(C(CO)(CO)O)=O	G5	Formose
C=C(C=O)C(C(CO)CO)O	G6	Formose
C=C(C=O)C(C)(C(CO)O)O	G5	Formose
C=C(C=O)C(CO)(C(C)O)O	G6	Formose
C=C(C=O)C(CO)(C(CO)O)O	G5	Formose
C=C(C=O)C(CO)(CCO)O	G5	Formose
C=C(C=O)C(CO)(CO)O	G5	Formose
C=C(C=O)C(CO)C(CO)O	G6	Formose
C=C(C=O)C1(COC(C1O)O)O	G6	Formose
C=C(C=O)CC(C(CO)O)O	G6	Formose
C=C(CO)C(C(C(C)O)O)O	G6	Formose
C=C(CO)C(C(C(CO)O)O)O	G6	Formose
C=C(CO)C(C(C=O)=O)(CO)O	G5	Formose
C=C(CO)C(C(CCO)O)O	G6	Formose
C=C(CO)C(C(CO)(CO)O)O	G6	Formose
C=C(CO)C(C(CO)O)O	G6	Formose
C=C(CO)C(C)(C(CO)O)O	G6	Formose
C=C(CO)C(CC(C)O)O	G6	Formose
C=C(CO)C(CC(CO)O)O	G6	Formose
C=C(CO)C(CCO)O	G6	Formose
C=C(CO)C(CO)(C(C)O)O	G6	Formose
C=C(CO)C(CO)(C(CO)O)O	G6	Formose
C=C(CO)C(CO)(C)O	G6	Formose
C=C(CO)C(CO)(CCO)O	G6	Formose
C=C(CO)C(CO)(CO)O	G6	Formose
C=C(CO)C(CO)C(C)O	G6	Formose
C=C(CO)C(CO)C(CO)O	G6	Formose
C=C(CO)C(CO)CO	G6	Formose
C=C(CO)C(CO)O	G6	Formose
C=C(CO)C1(C(C(CO1)O)O)O	G5	Glucose
C=C(CO)C1(C(O)OCC1O)O	G6	Formose
C=C1C(C(C(C(C)O)O1)O)O	G6	Formose
C=C1C(C(C(C(C)O1)O)O)O	G6	Formose
C=C1C(C(C(C(CO)O)O1)O)=O	G6	Formose
C=C1C(C(C(C(CO)O1)O)O)=O	G6	Formose
C=C1C(C(C(C(CO1)O)O)O)=O	G6	Formose
C=C1C(C(C(C1(CO)O)O)O)O	G6	Formose
C=C1C(C(C(C1N)O)O)=O	G4	GlucoseAmm
C=C1C(C(C(C1O)N)O)=O	G4	GlucoseAmm
C=C1C(C(C(C1O)O)N)=O	G4	GlucoseAmm
C=C1C(C(C(C1O)O)O)O	G6	Formose
C=C1C(C(C(CC1O)O)O)=O	G6	Formose
C=C1C(C(C(CCO)O1)O)O	G6	Formose
C=C1C(C(C(CN)O1)O)O	G4	GlucoseAmm
C=C1C(C(C(CO)(C1)O)O)=O	G6	Formose
C=C1C(C(C(CO)(C1O)O)O)O	G6	Formose
C=C1C(C(C(CO)(CO)O1)O)=O	G6	Formose
C=C1C(C(C(CO)(CO)O1)O)O	G6	Formose
C=C1C(C(C(CO)(CO1)O)O)=O	G6	Formose
C=C1C(C(C(CO)(CO1)O)O)O	G6	Formose
C=C1C(C(C(CO)(OC1)O)O)=O	G5	Glucose
C=C1C(C(C(CO)C1O)O)=O	G6	Formose
C=C1C(C(C(CO)O)(OC1)O)=O	G6	Formose
C=C1C(C(C(OC1)O)(CO)O)=O	G6	Formose
C=C1C(C(CC1O)O)O	G6	Formose
C=C1C(C(CO)(CC1O)O)=O	G6	Formose
C=C1C(C(CO)(CO)OC1O)=O	G6	Formose
C=C1C(C(CO)(COC1O)O)=O	G6	Formose
C=C1C(C(CO)O)(O)OCC1O	G5	Glucose
C=C1C(C(CO)O)OC(C1O)O	G6	Formose
C=C1C(C(CO)OC(C1O)O)O	G6	Formose
C=C1C(C(CO)OC1(CO)O)=O	G5	Glucose
C=C1C(C(COC(C1O)O)O)O	G6	Formose
C=C1C(C(COC1(CO)O)O)=O	G5	Glucose
C=C1C(C(O)OCC1(CO)O)O	G6	Formose
C=C1C(C(OC1(CO)CO)O)O	G6	Formose
C=C1C(CO)(O)OCC1(CO)O	G6	Formose
C=C1C(CO)(O)OCCC1O	G6	Formose
C=C1C(CO)OC(C1CO)O	G6	Formose
C=C1C(CO)OC(CO)(C1)O	G6	Formose
C=C1C(COC(C1(CO)O)O)=O	G6	Formose
C=C1C(COC(C1CO)O)O	G6	Formose
C=C1C(COC(CO)(C1)O)O	G6	Formose
C=C1C(COC1(C(CO)O)O)=O	G5	Glucose
C=C1C(O)OC(C(C)O)C1O	G6	Formose
C=C1C(O)OC(C)C(C1O)O	G6	Formose
C=C1C(O)OC(CCO)C1O	G6	Formose
C=C1C(O)OC(CO)(CO)C1O	G6	Formose
C=C1C(O)OC(CO)C1(C)O	G6	Formose
C=C1C(O)OC(CO)C1(CO)O	G6	Formose
C=C1C(O)OC(CO)C1O	G6	Formose
C=C1C(O)OC(CO)CC1O	G6	Formose
C=C1C(O)OCC(C1(C)O)O	G6	Formose
C=C1C(O)OCC(C1(CO)O)O	G6	Formose
C=C1C(O)OCC(C1O)O	G6	Formose
C=C1C(O)OCC(CC1O)O	G6	Formose
C=C1C(O)OCC(CO)(C1O)O	G6	Formose
C=C1C(O)OCC1(C(CO)O)O	G6	Formose
C=C1C(O)OCC1(CCO)O	G6	Formose
C=C1C(O)OCC1(CO)O	G6	Formose
C=C1C(O)OCCC(C1O)O	G6	Formose
C=C1C(O)OCCC1(CO)O	G6	Formose
C=C1COC(C(CO)O)(C1)O	G6	Formose
C=C1COC(C1(C(C)O)O)O	G6	Formose
C=C1COC(C1(CCO)O)O	G6	Formose
C=C1COC(C1C(CO)O)O	G6	Formose
C=CC(C(C(CN)N)O)=O	G4	GlucoseAmm
C=CC(C(C(CN)O)N)=O	G4	GlucoseAmm
C=CC(C(C(CN)O)O)=O	G4	GlucoseAmm
C=CC(C(C(CO)(C)O)O)O	G6	Formose
C=CC(C(C(CO)(CO)O)O)O	G6	Formose
C=CC(C(C(CO)CO)O)=O	G5	Formose
C=CC(C(C(CO)CO)O)O	G6	Formose
C=CC(C(C(CO)O)O)O	G5	Formose
C=CC(C(CCO)O)O	G6	Formose
C=CC(C(CO)(C(C)O)O)O	G6	Formose
C=CC(C(CO)(C(CO)O)O)O	G5	Formose
C=CC(C(CO)(C)O)O	G6	Formose
C=CC(C(CO)(CCO)O)=O	G6	Formose
C=CC(C(CO)(CCO)O)O	G6	Formose
C=CC(C(CO)(CO)CO)O	G6	Formose
C=CC(C(CO)(CO)O)O	G5	Formose
C=CC(C(CO)C(C)O)O	G6	Formose
C=CC(C(CO)C(CO)O)=O	G6	Formose
C=CC(C(CO)C(CO)O)O	G6	Formose
C=CC(C(CO)CO)O	G6	Formose
C=CC(C(CO)O)O	G5	Formose
C=CC(C1(C(C(CO1)O)O)O)O	G6	Formose
C=CC(C1(C(O)OCC1O)O)=O	G6	Formose
C=CC(C1(C(O)OCC1O)O)O	G6	Formose
C=CC(C1(COC(C1O)O)O)O	G6	Formose
C=CC(CO)(C(C(C)O)O)O	G6	Formose
C=CC(CO)(C(C(CO)O)O)O	G5	Formose
C=CC(CO)(C(C)O)O	G6	Formose
C=CC(CO)(C(CCO)O)O	G6	Formose
C=CC(CO)(C(CO)(C)O)O	G6	Formose
C=CC(CO)(C(CO)(CO)O)O	G6	Formose
C=CC(CO)(C(CO)CO)O	G6	Formose
C=CC(CO)(C(CO)O)O	G5	Formose
C=CC(CO)(CCO)O	G6	Formose
C=CC(CO)(CO)O	G5	Formose
C=CC(CO)C(C(C)O)O	G6	Formose
C=CC(CO)C(C(CO)O)O	G6	Formose
C=CC(CO)C(C)(CO)O	G6	Formose
C=CC(CO)C(CCO)O	G6	Formose
C=CC(CO)C(CO)(CO)O	G6	Formose
C=CC(CO)C(CO)O	G6	Formose
C=CC1(C(CO)(C(CO1)O)O)O	G5	Glucose
C=CC1(C(CO)(O)OCC1O)O	G6	Formose
C=CC1(C(O)OC(C)C1O)O	G6	Formose
C=CC1(C(O)OC(CO)C1O)O	G5	Formose
C=CC1(C(O)OCC(C1O)O)O	G5	Formose
C=CC1(C(O)OCC1(C)O)O	G6	Formose
C=CC1(C(O)OCC1(CO)O)O	G6	Formose
C=CC1(C(O)OCC1CO)O	G6	Formose
C=CC1(COC(C(C1O)O)O)O	G6	Formose
C=CC1(COC(C1CO)O)O	G6	Formose
C=CC1C(C(C(C)(O1)O)O)O	G6	Formose
C=CC1C(C(C(CO)(O1)O)O)O	G6	Formose
C=CC1C(C(C)(C(O1)O)O)O	G6	Formose
C=CC1C(CO)(C(C(O1)O)O)O	G6	Formose
C=CC1C(O)OCC1(CO)O	G6	Formose
C=CCC(C(C)(CO)O)O	G6	Formose
C=CCC(C(CO)(CO)O)O	G6	Formose
C=CCC(C(CO)CO)O	G6	Formose
C=CCC(C(CO)O)O	G6	Formose
CC(C(C(C(CCO)O)O)O)O	G6	Formose
CC(C(C(C(CO)CO)O)O)O	G5	Formose
CC(C(C(C(CO)O)N)N)O	G4	FormoseAmm
CC(C(C(C(CO)O)N)O)O	G4	FormoseAmm
CC(C(C(C(CO)O)O)O)O	G5	Formose
CC(C(C(CCCO)O)O)O	G6	Formose
CC(C(C(CCO)O)O)O	G5	Formose
CC(C(C(CN)N)O)O	G4	FormoseAmm
CC(C(C(CO)(C(C)O)O)O)O	G6	Formose
CC(C(C(CO)(CCO)O)O)O	G5	Formose
CC(C(C(CO)(CO)CO)O)O	G6	Formose
CC(C(C(CO)(CO)O)O)O	G6	Formose
CC(C(C(CO)C(C)O)O)O	G6	Formose
CC(C(C(CO)C(CO)O)O)O	G6	Formose
CC(C(C(CO)CO)O)O	G6	Formose
CC(C(C(CO)N)N)O	G4	FormoseAmm
CC(C(C(CO)N)O)O	G4	FormoseAmm
CC(C(C(CO)O)O)O	G5	Formose
CC(C(CCO)(C(CO)O)O)O	G6	Formose
CC(C(CCO)O)O	G6	Formose
CC(C(CN)(C(CN)O)N)O	G4	FormoseAmm
CC(C(CN)(C(CN)O)O)O	G4	FormoseAmm
CC(C(CN)(CN)O)O	G4	FormoseAmm
CC(C(CN)O)N	G4	FormoseAmm
CC(C(CN)O)O	G4	FormoseAmm
CC(C(CO)(C(C)O)O)O	G5	Formose
CC(C(CO)(C(CCO)O)O)O	G5	Formose
CC(C(CO)(C(CN)N)O)O	G4	FormoseAmm
CC(C(CO)(C(CN)O)N)O	G4	FormoseAmm
CC(C(CO)(C(CN)O)O)O	G4	FormoseAmm
CC(C(CO)(C(CO)CO)O)O	G6	Formose
CC(C(CO)(C(CO)N)O)O	G4	FormoseAmm
CC(C(CO)(CCCO)O)O	G6	Formose
CC(C(CO)(CCO)O)O	G5	Formose
CC(C(CO)(CN)N)O	G4	FormoseAmm
CC(C(CO)(CN)O)O	G4	FormoseAmm
CC(C(CO)(CO)C(C)O)O	G6	Formose
CC(C(CO)(CO)C(CO)O)O	G6	Formose
CC(C(CO)(CO)CCO)O	G6	Formose
CC(C(CO)(CO)CO)O	G6	Formose
CC(C(CO)(CO)N)O	G4	FormoseAmm
CC(C(CO)C(C(CO)O)O)O	G5	Formose
CC(C(CO)C(C)O)O	G5	Formose
CC(C(CO)C(CCO)O)O	G5	Formose
CC(C(CO)C(CO)(CO)O)O	G5	Formose
CC(C(CO)C(CO)O)O	G5	Formose
CC(C(CO)CCCO)O	G6	Formose
CC(C(CO)CCO)O	G6	Formose
CC(C(CO)CO)O	G5	Formose
CC(C(CO)N)O	G4	FormoseAmm
CC(C(CO)O)(C(C(C)O)O)O	G6	Formose
CC(C(CO)O)(C(C)(CO)O)O	G6	Formose
CC(C(CO)O)(C(CCO)O)O	G6	Formose
CC(C(CO)O)(C(CN)N)O	G4	GlucoseAmm
CC(C(CO)O)(C(CN)O)O	G4	GlucoseAmm
CC(C(CO)O)(C(CO)CO)O	G5	Formose
CC(C(CO)O)(C(CO)O)O	G5	Formose
CC(C(CO)O)N	G4	FormoseAmm
CC(C1C(C(C(O)O1)CO)O)O	G5	Formose
CC(CC(C(C(CO)O)O)O)O	G5	Formose
CC(CC(C(C)(CO)O)O)O	G6	Formose
CC(CC(C(CO)(CO)O)O)O	G5	Formose
CC(CC(C(CO)CO)O)O	G5	Formose
CC(CC(C(CO)O)O)O	G5	Formose
CC(CC(CCCO)O)O	G6	Formose
CC(CC(CCO)O)O	G5	Formose
CC(CC(CO)(C(CO)O)O)O	G6	Formose
CC(CC(CO)(CCO)O)O	G6	Formose
CC(CC(CO)O)(C(CO)O)O	G6	Formose
CC(CC(CO)O)O	G6	Formose
CC(CCCO)(C(CO)O)O	G6	Formose
CC(CCO)(C(C(CO)O)O)O	G6	Formose
CC(CCO)(C(CCO)O)O	G6	Formose
CC(CCO)(C(CO)(CO)O)O	G6	Formose
CC(CCO)(C(CO)O)O	G5	Formose
CC(CCO)(CCCO)O	G6	Formose
CC(CCO)C(C(CO)O)O	G6	Formose
CC(CCO)C(CCO)O	G6	Formose
CC(CCO)C(CO)(CO)O	G6	Formose
CC(CCO)C(CO)CO	G6	Formose
CC(CCO)C(CO)O	G6	Formose
CC(CO)(C(C(C(C)O)O)O)O	G6	Formose
CC(CO)(C(C(C)O)O)O	G6	Formose
CC(CO)(C(C(CCO)O)O)O	G6	Formose
CC(CO)(C(C(CO)CO)O)O	G6	Formose
CC(CO)(C(C(CO)O)O)O	G5	Formose
CC(CO)(C(C)(CO)O)O	G6	Formose
CC(CO)(C(C)O)O	G6	Formose
CC(CO)(C(CC(CO)O)O)O	G6	Formose
CC(CO)(C(CCO)O)O	G6	Formose
CC(CO)(C(CN)N)O	G4	GlucoseAmm
CC(CO)(C(CN)O)O	G4	GlucoseAmm
CC(CO)(C(CO)(C(C)O)O)O	G5	Formose
CC(CO)(C(CO)(CCO)O)O	G5	Formose
CC(CO)(C(CO)(CO)CO)O	G6	Formose
CC(CO)(C(CO)(CO)O)O	G5	Formose
CC(CO)(C(CO)C(C)O)O	G5	Formose
CC(CO)(C(CO)C(CO)O)O	G5	Formose
CC(CO)(C(CO)CO)O	G5	Formose
CC(CO)(C(CO)O)O	G5	Formose
CC(CO)(CC(C(CO)O)O)O	G6	Formose
CC(CO)(CC(CCO)O)O	G6	Formose
CC(CO)(CCO)O	G5	Formose
CC(CO)(CO)O	G6	Formose
CC1(C(C(C(C1CO)O)O)O)O	G6	Formose
CC1(C(C(C(CCO)O1)O)O)O	G5	Formose
CC1(C(C(C(CN)O1)N)O)O	G4	GlucoseAmm
CC1(C(C(C(CN)O1)O)O)O	G4	GlucoseAmm
CC1(C(C(C(CO)C1O)O)O)O	G6	Formose
CC1(C(C(C(CO1)O)N)O)O	G4	GlucoseAmm
CC1(C(C(C(CO1)O)O)N)O	G4	GlucoseAmm
CC1(C(C(CC1(CO)O)O)O)O	G6	Formose
CC1(C(C(CO)C(CO)O1)O)O	G6	Formose
CC1(C(C(O)OCC1CO)O)O	G6	Formose
CC1(C(CC(C1(CO)O)O)O)O	G6	Formose
CC1(C(CC(C1CO)O)O)O	G6	Formose
CC1(C(CCO)OC(C1O)O)O	G6	Formose
CC1(C(CO)(O)OCC1CO)O	G6	Formose
CC1(C(CO)C(C(CO)O1)O)O	G6	Formose
CC1(C(CO)OC(C1CO)O)O	G5	Formose
CC1(C(CO)OC(C1N)O)O	G4	GlucoseAmm
CC1(C(COC(C1CO)O)O)O	G5	Formose
CC1(C(COC(C1N)O)O)O	G4	GlucoseAmm
CC1(C(COC1(C(C)O)O)O)O	G6	Formose
CC1(C(O)OC(C)C1CO)O	G6	Formose
CC1(C(O)OC(CCO)C1O)O	G6	Formose
CC1(C(O)OC(CO)C1CO)O	G6	Formose
CC1(C(O)OCC(C1CO)O)O	G6	Formose
CC1(C(O)OCC(CO)C1O)O	G6	Formose
CC1(C(O)OCC1C(C)O)O	G6	Formose
CC1(C(O)OCC1C(CO)O)O	G6	Formose
CC1(C(O)OCC1CO)O	G6	Formose
CC1(CC(C(CO)(C1O)O)O)O	G6	Formose
CC1(CC(C(CO)C1O)O)O	G6	Formose
CC1(CC(O)OCC1(CO)O)O	G6	Formose
CC1(CCOC(C1(CO)O)O)O	G6	Formose
CC1C(C(C(C(O)O1)CO)O)O	G5	Formose
CC1C(C(C(O)O1)(CCO)O)O	G6	Formose
CC1C(CO)(C(C(O)O1)CO)O	G6	Formose
CC1C(CO)(CO)C(C(O)O1)O	G6	Formose
CC1C(CO)C(C(C(O)O1)O)O	G6	Formose
CC1C(CO)C(C(O)O1)(CO)O	G6	Formose
CC1C(CO)C(C(O)O1)O	G5	Formose
