Network	Generation	Smiles
Formose	G4	C(C(C(C)O)C(CCO)O)=O
Formose	G4	C(C(C(C)O)C(CO)(CO)O)=O
Formose	G4	C(C(C(C)O)O)(C(C(C)O)O)=O
Formose	G4	C(C(C(C)O)O)(CCO)=O
Formose	G4	C(C(C(C=O)=C)(C(CO)O)O)=O
Formose	G4	C(C(C(C=O)O)O)(C(C)O)=O
Formose	G4	C(C(C(C=O)O)O)(CC(C)O)=O
Formose	G4	C(C(C(CC(C(C)=O)O)O)O)=O
Formose	G4	C(C(C(CC(C)O)=O)(CO)O)=O
Formose	G4	C(C(C(CC(C)O)=O)O)(O)=O
Formose	G4	C(C(C(CC(C)O)O)O)(O)=O
Formose	G4	C(C(C(CC(C)O)O)O)=O
Formose	G4	C(C(C(CC(CCO)O)=O)O)=O
Formose	G4	C(C(C(CC(CO)(C)O)=O)O)=O
Formose	G4	C(C(C(CC(CO)O)O)O)=O
Formose	G4	C(C(C(CC=O)O)(C(C)O)O)=O
Formose	G4	C(C(C(CC=O)O)(CCO)O)=O
Formose	G4	C(C(C(CC=O)O)C(CO)O)=O
Formose	G4	C(C(C(CCO)=O)(C(C)O)O)=O
Formose	G4	C(C(C(CCO)O)(CC=O)O)=O
Formose	G4	C(C(C(CCO)O)C(C=O)O)=O
Formose	G4	C(C(C(CCO)O)O)(CCO)=O
Formose	G4	C(C(C(CCO)O)O)=O
Formose	G4	C(C(C(CCO)O)O)O
Formose	G4	C(C(C(CO)(C(C)O)O)=O)=O
Formose	G4	C(C(C(CO)(C(C)O)O)O)=O
Formose	G4	C(C(C(CO)(C)O)(CC=O)O)=O
Formose	G4	C(C(C(CO)(C)O)C(C=O)O)=O
Formose	G4	C(C(C(CO)(C)O)O)(CCO)=O
Formose	G4	C(C(C(CO)(C)O)O)(O)=O
Formose	G4	C(C(C(CO)(C)O)O)=O
Formose	G4	C(C(C(CO)(CCO)O)O)=O
Formose	G4	C(C(C(CO)(CCO)O)O)O
Formose	G4	C(C(C(CO)(CO)C(C)O)=O)=O
Formose	G4	C(C(C(CO)(CO)CO)=O)=O
Formose	G4	C(C(C(CO)(CO)O)=O)=O
Formose	G4	C(C(C(CO)(CO)O)CC=O)=O
Formose	G4	C(C(C(CO)=O)(CCO)O)=O
Formose	G4	C(C(C(CO)=O)(CO)C(C)O)=O
Formose	G4	C(C(C(CO)=O)(CO)CO)=O
Formose	G4	C(C(C(CO)=O)(CO)O)=O
Formose	G4	C(C(C(CO)=O)C(CCO)O)=O
Formose	G4	C(C(C(CO)=O)C(CO)(C)O)=O
Formose	G4	C(C(C(CO)=O)O)(O)=O
Formose	G4	C(C(C(CO)C(C(C)=O)O)O)=O
Formose	G4	C(C(C(CO)C(C)(CO)O)=O)=O
Formose	G4	C(C(C(CO)C(C)O)O)=O
Formose	G4	C(C(C(CO)C(C=O)O)O)=O
Formose	G4	C(C(C(CO)C(CCO)O)=O)=O
Formose	G4	C(C(C(CO)C(CO)O)O)=O
Formose	G4	C(C(C(CO)CO)(CC=O)O)=O
Formose	G4	C(C(C(CO)CO)O)=O
Formose	G4	C(C(C(CO)O)(CCO)O)=O
Formose	G4	C(C(C(CO)O)=O)(CCO)=O
Formose	G4	C(C(C(CO)O)=O)(O)=O
Formose	G4	C(C(C(CO)O)C(C(C)=O)O)=O
Formose	G4	C(C(C(CO)O)C(C)(CO)O)=O
Formose	G4	C(C(C(CO)O)C(C)O)=O
Formose	G4	C(C(C(CO)O)C(C=O)(C)O)=O
Formose	G4	C(C(C(CO)O)C(CCO)O)=O
Formose	G4	C(C(C(CO)O)C(CO)O)=O
Formose	G4	C(C(C(CO)O)O)(C(C)O)=O
Formose	G4	C(C(C(CO)O)O)(CCO)=O
Formose	G4	C(C(C(CO)O)O)=CC=O
Formose	G4	C(C(C)(C(C(C)=O)(CO)O)O)=O
Formose	G4	C(C(C)(C(C(C)=O)O)O)(O)=O
Formose	G4	C(C(C)(C(C(C=O)O)O)O)=O
Formose	G4	C(C(C)(C(C(CC=O)O)O)O)=O
Formose	G4	C(C(C)(C(C(CCO)=O)O)O)=O
Formose	G4	C(C(C)(C(C(CO)=O)CO)O)=O
Formose	G4	C(C(C)(C(C)O)O)(O)=O
Formose	G4	C(C(C)(C(C=O)O)O)(O)=O
Formose	G4	C(C(C)(C(CO)(CC=O)O)O)=O
Formose	G4	C(C(C)(C(CO)(CO)O)O)=O
Formose	G4	C(C(C)(C(CO)C(C=O)O)O)=O
Formose	G4	C(C(C)(C(CO)O)O)=O
Formose	G4	C(C(C)(CC(C(C=O)O)O)O)=O
Formose	G4	C(C(C)(CC(C(CO)O)=O)O)=O
Formose	G4	C(C(C)(CC(CO)=O)O)(O)=O
Formose	G4	C(C(C)=O)(C(C(CCO)O)O)=O
Formose	G4	C(C(C)=O)(C(C(CO)(C)O)O)=O
Formose	G4	C(C(C)=O)(C(C(CO)O)O)=O
Formose	G4	C(C(C)O)(C(C(CO)=O)O)=O
Formose	G4	C(C(C1C(C(CC1O)O)O)=O)=O
Formose	G4	C(C(C=C)(C(C(CO)=O)O)O)=O
Formose	G4	C(C(C=C)(C(C(CO)O)O)O)=O
Formose	G4	C(C(C=C)(C(C=O)(CO)O)O)=O
Formose	G4	C(C(C=C)(C(CO)O)O)=O
Formose	G4	C(C(C=O)(C(CO)O)O)=O
Formose	G4	C(C(C=O)(CO)C(C)(CO)O)=O
