Network	Generation	Smiles
Glucose	G3	C(CO)(C(C(CO)O)O)=O
Glucose	G3	C(CC(CO)(C(C=O)O)O)=O
Glucose	G3	C(C(C(CO)=O)C(CO)O)=O
Glucose	G3	C(C(C(C)(C(CO)O)O)O)=O
Glucose	G3	C(C(CCO)(C(C=O)O)O)=O
Glucose	G3	C(C(C(CO)C(CO)O)=O)=O
Glucose	G3	C(C(C(CO)(CCO)O)O)=O
Glucose	G3	C(CO)(C(CO)C(CO)O)=O
Glucose	G3	C(C(C(CO)(C)O)O)=O
Glucose	G3	C(CO)(CC(CO)O)=O
Glucose	G3	C(C)(C(C(CO)O)O)=O
Glucose	G3	C(C(C(CO)O)C(C=O)O)=O
Glucose	G3	C(C(CCO)O)(O)=O
Glucose	G3	C(CC(C(O)=O)O)(CCO)=O
Glucose	G3	C(C(CCC(CO)=O)O)(O)=O
Glucose	G3	C(C(CC(C(C)=O)O)O)(O)=O
Glucose	G3	C(CC(CC(C(O)=O)O)O)=O
Glucose	G3	C(C(CCO)(CC=O)O)(O)=O
Glucose	G3	C(C(C)(CC(C=O)O)O)(O)=O
Glucose	G3	C(C(C=CC(CO)O)O)(O)=O
Glucose	G3	C(C(C(C(C)=O)O)O)(O)=O
Glucose	G3	C(C(C(CO)O)=O)(CCO)=O
Glucose	G3	C(C(CO)O)(C(C(C)=O)O)=O
Glucose	G3	C(C(C)O)(C(C(CO)=O)O)=O
Glucose	G3	C(C(CC(C(CO)O)O)O)=O
Glucose	G3	C(C(CCO)O)(C(CO)O)=O
Glucose	G3	C(CO)(C(CC(CO)O)O)=O
Glucose	G3	C(C(C(CO)O)O)(C(C)O)=O
Glucose	G3	C(CO)(C(C(CCO)O)O)=O
Glucose	G3	C1(C(CC(C(CO)O)O1)O)=O
Glucose	G3	C1(C(CC(C(CO)O1)O)O)=O
Glucose	G3	C1(C(CO)OC(CC1O)O)=O
Glucose	G3	C1(C(CC(C(CO1)O)O)O)=O
Glucose	G3	C1(C(CC(O)OCC1O)O)=O
Glucose	G3	C1(COC(C(CC1O)O)O)=O
Glucose	G3	C(C1C(C(C(C1O)O)O)O)O
Glucose	G3	C(C(C(CC(CO)O)O)O)=O
Glucose	G3	C(C(C(C(CCO)O)O)O)O
Glucose	G3	C(C1(C(C(CC1O)O)O)O)O
Glucose	G3	C(CC1C(C(C(O)O1)O)O)O
Glucose	G3	C(C(CO)O)=CC(CO)=O
Glucose	G3	C(CO)=CC(C(CO)O)=O
Glucose	G3	C=CC(C(C(CO)O)O)=O
Glucose	G3	C(C(C(CO)O)O)=CC=O
Glucose	G3	C(C(C(C=CCO)O)O)=O
Glucose	G3	C1C(C(C(CCO)(O)O1)O)O
Glucose	G3	CC1(C(C(C(CO)O1)O)O)O
Glucose	G3	C(C(CO)O)=CC(C(O)=O)=O
Glucose	G3	C(C(C(C=CCO)=O)O)(O)=O
Glucose	G3	C(C=CC(C(CO)O)=O)(O)=O
Glucose	G3	C(C(C(C(C=C)=O)O)O)(O)=O
Glucose	G3	C(C(C=CC(CO)=O)O)(O)=O
Glucose	G3	C(C(C(C=CC=O)O)O)(O)=O
Glucose	G3	C(C(C(C=CC(O)=O)O)O)=O
Glucose	G3	C1(C(CC(C1(CO)O)O)O)=O
Glucose	G3	C1C(C(C(C=1)=O)(CO)O)O
Glucose	G3	C(C1(C(C=CC1O)O)O)=O
Glucose	G3	C(C)(C(CO)(C(C(C)=O)O)O)=O
Glucose	G3	C(C(C)(C(C(C)=O)(CO)O)O)=O
Glucose	G3	C(C)(C(CO)(C(CO)(C)O)O)=O
Glucose	G3	C(C)(C(CO)(C(C)O)O)=O
Glucose	G3	C(C(C(C)O)(C(C(C)=O)O)O)=O
Glucose	G3	C(C)(C(C(C)O)(C(C=O)O)O)=O
Glucose	G3	C(CO)(C(CO)(C(C)O)O)=O
Glucose	G3	C(C(C(C)=O)(C(CO)O)O)=O
Glucose	G3	C(C)(C(CO)(C(CO)O)O)=O
Glucose	G3	C(C(C(CO)O)(C(C)O)O)=O
Glucose	G3	C(C1(C(C(C(C1)O)O)O)O)=O
Glucose	G3	C1(C(C(C(C1(C)O)O)O)O)=O
Glucose	G3	C(C(C(CO)(C)O)(CC=O)O)=O
Glucose	G3	C(C(C(CO)O)(CC=O)O)=O
Glucose	G3	C(C(C)=O)(C(C(CO)O)O)=O
Glucose	G3	C(C1C(C(C(CO)O1)O)O)=O
Glucose	G3	C1(C(CO)OC(CO)C1O)=O
Glucose	G3	C1(C(CO)(O)OC(CO)C1)=O
Glucose	G3	C1(C(CO)OC(CO)(C1)O)=O
Glucose	G3	C(C1C(C(C(CO1)O)O)O)=O
Glucose	G3	C1(C(CO)OCC(C1O)O)=O
Glucose	G3	C1(C(CO)(O)OCC(C1)O)=O
Glucose	G3	C1(C(COC(CO)(C1)O)O)=O
Glucose	G3	C1(C(C(CO)(O)OCC1)O)=O
Glucose	G3	C1(COC(CO)(C(C1)O)O)=O
Glucose	G3	C1C(C(C(C=1CO)=O)O)O
Glucose	G3	C=C1C(C(C(C1O)O)O)=O
Glucose	G3	C1C(C(C(C=1C=O)O)O)O
Glucose	G3	C(C(C(CO)O)O)=CC(O)=O
Glucose	G3	C(C(C(C(C=C)O)O)O)=O
Glucose	G3	C(C1(C=CC(C1O)O)O)=O
Glucose	G3	C12C(C(C(CC1O)(O)O2)O)O
Glucose	G3	C1(C2C(C(C(C2O)O1)O)O)O
Glucose	G3	C1(COC(C(CO)O)(C1)O)=O
Glucose	G3	C1(COC(CCO)(C1O)O)=O
Glucose	G3	C1(C2(C(C(CC2O)O1)O)O)O
Glucose	G3	C1C2(C(C(C(CO)O2)O1)O)O
Glucose	G3	C1C2(C(C(C(CO1)O2)O)O)O
Glucose	G3	C1(COC(CO)(CC1O)O)=O
Glucose	G3	C1(COC(C)(C(C1O)O)O)=O
Glucose	G3	C1(C(C)OC(C(C1O)O)O)=O
Glucose	G3	CC1(C(C(C(CO1)O)O)O)O
Glucose	G3	C1C2(C(C(C(CO2)O)O1)O)O
Glucose	G3	C1C2(C(C(C(CO2)O1)O)O)O
Glucose	G3	C1(COC(CC(C1O)O)O)=O
