Generation	NetworkSmiles	PathwayFound?
G3	C(C(C(C)(C(C=O)O)O)N)=O	False
G3	C(C(C(CC(CN)O)=O)O)=O	True
G3	C(C(C(C(CN)O)O)N)=O	True
G3	C(C(C(C(C(CO)N)O)O)N)=O	True
G3	C(C(CO)O)(C(CO)O)=O	True
G3	C(CNC(C(CO)=O)CO)=O	False
G3	C(C(CO)NCC(CO)=O)=O	False
G3	C(CO)(C(CO)N)=O	True
G3	C(C(CO)O)(C(CO)N)=O	False
G3	C(C(CO)NCC(C=O)O)=O	False
G3	C(C(C(C(C(CN)O)N)O)O)=O	False
G3	C(C(C(C(CO)N)O)O)=O	True
G3	C(C(C(C(C(CN)O)O)O)O)=O	True
G3	C(C(C(C(C(CO)O)N)O)O)=O	True
G3	C(C(C(CO)(CO)O)O)=O	True
G3	C(CO)(C(C(CO)O)O)=O	True
G3	C(C(C(CO)(CN)O)O)=O	True
G3	C(CN)(C(C(CO)O)O)=O	True
G3	C(CO)(C(C(CO)O)N)=O	False
G3	C(C(C(CN)(C(CO)O)O)O)=O	True
G3	C(C(CO)O)(C(C(CO)O)N)=O	False
G3	C(C(C(CNCC=O)O)O)=O	True
G3	C(C(C(CO)O)NCC=O)=O	False
G3	C(C(CCO)(C(C=O)O)O)=O	True
G3	C(C(C(C=O)O)O)(CCO)=O	True
G3	C(C(C(CO)C(CO)O)=O)=O	True
G3	C(CC(C(C(C=O)O)O)O)=O	True
G3	C(C(C(CC(C=O)O)O)O)=O	True
G3	C(C(C(CO)O)C(C=O)O)=O	True
G3	C(C(C(CC(CO)=O)O)O)=O	True
G3	C(CC(CO)(C(C=O)O)O)=O	True
G3	C(C(C(CO)=O)C(CO)O)=O	True
G3	C(CC(C(C(CO)O)O)=O)=O	True
G3	C(C(C(C(C(C)=O)O)O)O)=O	True
G3	C(C(C(C)(C(C=O)O)O)O)=O	False
G3	C(C(C(CC(CO)O)=O)O)=O	True
G3	C(C(C(C(CN)O)O)O)=O	True
G3	C(C(C(C(C(CO)N)O)O)O)=O	True
G3	C(C(CCO)O)(O)=O	True
G3	C(C(C(C(CO)O)O)=O)=O	False
G3	C(CO)(C(CN)O)=O	True
G3	C(CNCC(C(CO)=O)O)=O	True
G3	C(C(CO)NC(C=O)CO)=O	False
G3	C(C(CN)NC(C=O)CO)=O	False
G3	C(C(CO)NCC(CN)=O)=O	False
G3	C(CNCCO)(C(CN)O)=O	True
G3	C(CNCC(O)=O)(C(CN)O)=O	True
G3	C(C(CO)NCCO)=O	True
G3	C(C(CO)NCC(O)=O)=O	True
G3	C(C(C(CO)O)NCCO)=O	True
G3	C(CO)(C(CO)NCCO)=O	True
G3	C(C(C(CO)O)NCC(O)=O)=O	True
G3	C(CNC(C(CO)=O)CO)(O)=O	True
G3	C(C(CN)NCC(CO)=O)=O	False
G3	C(C(CN)NCCO)=O	False
G3	C(C(CN)NCC(O)=O)=O	False
G3	C(CNCC(CN)=O)(CO)=O	False
G3	C(C(CN)NCC(C=O)O)=O	False
G3	C(CO)(C(CN)NCCO)=O	False
G3	C(CNC(C(CO)=O)CN)(O)=O	False
G3	C(CNCCO)(CN)=O	True
G3	C(CNCCO)(C(CO)N)=O	True
G3	C(CNCC(CN)=O)(O)=O	False
G3	C(CNCC(O)=O)(C(CO)N)=O	False
G3	C(C(CNCC(CN)=O)O)=O	False
G3	C(CN)(C(CN)O)=O	True
G3	C(CO)(C(CNCC=O)N)=O	False
G3	C(CO)(C(CN)N)=O	False
G3	C(CNC(C(CN)=O)CO)=O	False
G3	C(CN)(C(CO)N)=O	False
G3	C(CO)(CNCC(CO)=O)=O	False
G3	C(CO)(CNCCO)=O	True
G3	C(CNCC(CO)=O)(O)=O	True
G3	C(C(CNCC(CO)=O)O)=O	True
G3	C(CNCCO)(C(CO)O)=O	True
G3	C(CNCC(O)=O)(C(CO)O)=O	True
G3	C(CNCC=O)(C(CN)O)=O	False
G3	C(CNC(C(CO)=O)CN)=O	False
G3	C(CNCC=O)(C(CO)N)=O	False
G3	C(C(C(CNCC=O)O)O)(O)=O	True
G3	C(C(C(C(CO)N)O)O)O	False
G3	C(C(C(C(C(CO)N)O)O)O)O	False
G3	C(C(C(CN)O)N)O	True
G3	C(C(CO)N)O	True
G3	C(C(C(C(CO)O)O)O)O	True
G3	C(C(C(CN)O)O)O	True
G3	C(C(C(CO)O)N)O	True
G3	C(C(CO)(C(CN)O)O)O	True
G3	C(C(C(CO)O)(C(CN)O)O)O	True
G3	C(C(CO)(CO)O)O	True
G3	C(C(CO)(C(CO)O)O)O	True
G3	C(CNCC(CO)O)=O	True
G3	C(C(CNCCO)O)=O	True
G3	C(CNC(CO)C(CO)O)=O	False
G3	C(C(C(CO)NCCO)O)=O	True
G3	C(C(CN)O)O	True
G3	C(C(C(C(CO)O)O)N)(O)=O	False
G3	C(C(C(CN)O)N)(O)=O	False
G3	C(C(CO)N)(O)=O	True
G3	C(C(C(CO)O)N)(O)=O	True
G3	C(C(CO)(C(CN)O)O)(O)=O	True
G3	C(C(CO)(CO)O)(O)=O	True
G3	C(C(CNCC=O)O)(O)=O	True
G3	C(C(CNCC(O)=O)O)=O	True
G3	C(C(C(CO)NCC=O)O)(O)=O	True
G3	C(C(C(CO)NCC(O)=O)O)=O	True
G3	C(C(CN)O)(O)=O	True
G3	C(C(C(CO)N)O)(O)=O	True
G3	C1(CNCC(C1(CO)O)O)=O	False
G3	C(C1(CNCC1O)O)=O	True
G3	C(C1(C(CNC1CO)O)O)=O	False
G3	C(C(C(CN)O)(C(C=O)O)N)=O	False
G3	C(C(C(CN)O)(C(C)O)N)=O	False
G3	C(C(CO)(C(C(CO)N)O)N)=O	False
G3	C(C(CO)(C(C=O)O)N)=O	False
G3	C(C(CO)(C(CO)(CO)O)N)=O	False
G3	C(C(CO)(C(CN)(CO)O)N)=O	False
G3	C(C(CO)(C(CC=O)O)N)=O	False
G3	C(C(CO)(C(C=O)(C)O)N)=O	False
G3	C(C(CO)(C(C(C)=O)O)N)=O	False
G3	C(C(CO)(C(C)O)N)=O	True
G3	C(C(CN)(C(C(CO)N)O)O)=O	True
G3	C(C(CO)(C(C(CN)O)O)N)=O	False
G3	C(C(C(CN)O)(C(C=O)O)O)=O	False
G3	C(C(C(C)O)(C(CN)O)O)=O	True
G3	C(C(C(CO)O)(C(C=O)O)N)=O	False
G3	C(C(C(CO)O)(C(C)O)N)=O	False
G3	C(CN)(C(CO)(C(C=O)O)O)=O	False
G3	C(C(CN)(C(C=O)O)O)=O	False
